,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_loss,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
90,7.573624134063721,0.7584240048039995,0.13451554775238037,0.02894055185859983,42,177,exponential,4.702446473236618,"{'random_state': 42, 'n_estimators': 177, 'loss': 'exponential', 'learning_rate': 4.702446473236618}",-0.1763876466442572,-0.17890351789253248,-0.16091875775319836,-0.1874624071608075,-0.18762365626375682,-0.1600239370278016,-0.17288425560184748,-0.17150511797100226,-0.1979015061970545,-0.16928827305735292,-0.17628990755696108,0.011452292000622376,1
88,4.531068229675293,0.3006916694444432,0.06910076141357421,0.009041491446998456,42,104,exponential,3.25172256128064,"{'random_state': 42, 'n_estimators': 104, 'loss': 'exponential', 'learning_rate': 3.25172256128064}",-0.1848708600081048,-0.17837150287182918,-0.16566048911712042,-0.1926226353576994,-0.18962592318471372,-0.1632458309478527,-0.17769165685768135,-0.18093902256981015,-0.20010062116535232,-0.16568668988879023,-0.17988152319689543,0.01174591850443316,2
14,2.556452202796936,0.1559903775415026,0.04175612926483154,0.003530475523629689,42,69,square,1.6509237618809403,"{'random_state': 42, 'n_estimators': 69, 'loss': 'square', 'learning_rate': 1.6509237618809403}",-0.19224574520163362,-0.17550313421992592,-0.17239369633604282,-0.19506407229911982,-0.1982474010248073,-0.16698180710897642,-0.1853872959318889,-0.17538548452583536,-0.2021859119837784,-0.16847493311119055,-0.1831869481743199,0.012374147964855368,3
57,5.283067297935486,0.23188288186118758,0.08488576412200928,0.02687076122003407,42,140,linear,0.4503246623311655,"{'random_state': 42, 'n_estimators': 140, 'loss': 'linear', 'learning_rate': 0.4503246623311655}",-0.19154843461882187,-0.18209417034138675,-0.17566034592417212,-0.194648744856953,-0.2020045919489566,-0.16710610372427603,-0.17638525899494592,-0.18212937834049264,-0.199822715986962,-0.16581341342523728,-0.18372131581622042,0.012226785519130406,4
49,0.5786893844604493,0.016766237517343276,0.016354823112487794,0.001398083101877556,42,15,exponential,3.001597748874437,"{'random_state': 42, 'n_estimators': 15, 'loss': 'exponential', 'learning_rate': 3.001597748874437}",-0.20880006011208913,-0.19167791332253756,-0.18391811925144905,-0.20800151905608585,-0.21404733838910595,-0.18286609838890563,-0.19026030880351996,-0.1779642634445179,-0.18614503182038,-0.17490542182688446,-0.19185860744154754,0.013036710550126713,5
63,0.394307804107666,0.013028198926317862,0.013875555992126466,0.0019062837639662175,42,10,exponential,3.3017475237618807,"{'random_state': 42, 'n_estimators': 10, 'loss': 'exponential', 'learning_rate': 3.3017475237618807}",-0.20552935494877717,-0.2052213715663119,-0.18848479053270048,-0.2184565949898029,-0.22839723737406256,-0.1876915034996734,-0.20512622626656787,-0.19409110001455432,-0.2168671957294545,-0.18817442882244168,-0.20380398037443465,0.013527090096500067,6
60,0.059095335006713864,0.005412875194570274,0.008910250663757325,0.0009772554552898616,42,1,linear,79.88996508254127,"{'random_state': 42, 'n_estimators': 1, 'loss': 'linear', 'learning_rate': 79.88996508254127}",-0.23957895185402414,-0.23237765396790255,-0.2578708119622108,-0.24514226506234837,-0.27344867585571864,-0.21815332505426815,-0.24851442358740486,-0.24975845883279937,-0.2597666161501206,-0.2391867205615182,-0.24637979028883156,0.014670595071140007,7
94,3.4665054082870483,0.28476813977270565,0.09623267650604247,0.048704208754423876,42,130,exponential,7.453819409704852,"{'random_state': 42, 'n_estimators': 130, 'loss': 'exponential', 'learning_rate': 7.453819409704852}",-0.2281872570593401,-0.2558315401546081,-0.2690091545413261,-0.3225806247825884,-0.3180446211406419,-0.22778263035939209,-0.2925444535211496,-0.2152444184534479,-0.2702214119806123,-0.25611733464635217,-0.26555634466394584,0.035081461360639686,8
29,1.513901448249817,0.08895897985012054,0.051651811599731444,0.007648086345988356,42,78,exponential,10.755466933466732,"{'random_state': 42, 'n_estimators': 78, 'loss': 'exponential', 'learning_rate': 10.755466933466732}",-0.31146662290914995,-0.33994320226622965,-0.3367215021560871,-0.35894279293151937,-0.3751566929263212,-0.3393216870479024,-0.2811100481545185,-0.271362288799536,-0.2972601017790511,-0.24682952239940764,-0.31581144613697226,0.03905883407878665,9
92,1.3303682327270507,0.17476344350050074,0.04942595958709717,0.008009655417227379,42,65,exponential,19.4598104052026,"{'random_state': 42, 'n_estimators': 65, 'loss': 'exponential', 'learning_rate': 19.4598104052026}",-0.3478770233300411,-0.3302782442677569,-0.389677811548042,-0.36368454520385285,-0.42435413675741723,-0.33069195823677094,-0.3915226409790851,-0.37684542794070097,-0.3426921973929432,-0.3969504036565166,-0.36945743893131266,0.029954999775406898,10
77,1.7801568031311035,0.20655862902792785,0.09616801738739014,0.0261401102938477,42,87,exponential,20.460309654827412,"{'random_state': 42, 'n_estimators': 87, 'loss': 'exponential', 'learning_rate': 20.460309654827412}",-0.36423181802286175,-0.3661466286070462,-0.3940255310039083,-0.3932970371350438,-0.42497970089331616,-0.37293956970282705,-0.338133207541575,-0.3047129838732041,-0.32960122236141115,-0.41960151240185145,-0.3707669211543045,0.03682917807535743,11
27,0.31641716957092286,0.06619904072105959,0.0167039155960083,0.004229856091891952,42,12,exponential,13.506839869934966,"{'random_state': 42, 'n_estimators': 12, 'loss': 'exponential', 'learning_rate': 13.506839869934966}",-0.6318496511103213,-0.40958268148278704,-0.4349465120960254,-0.3965589411939073,-0.6776249939394288,-0.5217440762731936,-0.3508714768413369,-0.29556319949945264,-0.37893709380885376,-0.2849832936296126,-0.4382661919874919,0.12622463183588986,12
74,1.6905760288238525,0.5447475644982506,0.07279210090637207,0.02136461768464662,42,128,exponential,24.862506353176585,"{'random_state': 42, 'n_estimators': 128, 'loss': 'exponential', 'learning_rate': 24.862506353176585}",-0.3717433520242675,-0.7320573029867982,-0.40911699319755457,-0.42710371290996735,-0.5476415059902314,-0.56459113912912,-0.3151502566094439,-0.35874285910076265,-0.47784761943233717,-0.43342840892916784,-0.4637423150309651,0.11671117879595692,13
38,0.789693808555603,0.6864002048224078,0.032958149909973145,0.01933412956344865,42,175,exponential,31.065601700850422,"{'random_state': 42, 'n_estimators': 175, 'loss': 'exponential', 'learning_rate': 31.065601700850422}",-0.6718629070791169,-0.5271555465062853,-0.7617519246619102,-0.5626861920103958,-0.7930978360189771,-0.46278959916054596,-0.6143975868597974,-0.37904046772177996,-0.3764728281321501,-0.40843101629703626,-0.5557685904447995,0.14500667818094948,14
15,0.7660012722015381,0.22646738766142183,0.03319294452667236,0.0064530912173522215,42,57,exponential,28.614378539269634,"{'random_state': 42, 'n_estimators': 57, 'loss': 'exponential', 'learning_rate': 28.614378539269634}",-0.38478235209635137,-0.38978754009262084,-0.5777816409065765,-0.6475185442900385,-0.4675015224216139,-0.9733995354834551,-0.3884038964833799,-0.40183301648770486,-0.8323898518790792,-0.6242200362556845,-0.5687617936396505,0.19470981071478058,15
68,0.7353651046752929,0.28546037888408066,0.0439948320388794,0.01961421973915286,42,61,linear,30.265202301150573,"{'random_state': 42, 'n_estimators': 61, 'loss': 'linear', 'learning_rate': 30.265202301150573}",-0.4441203450317801,-0.4009355635364024,-0.7991418093195576,-0.4291794417247014,-0.4750289188571262,-0.3103736512596026,-0.5802273809392308,-0.3881301133700457,-0.45370879688157756,-1.4454483129688172,-0.5726294333888842,0.31721218848327326,16
61,0.2470839262008667,0.06984987637338838,0.016731810569763184,0.0031669811154108633,42,124,exponential,34.36724922461231,"{'random_state': 42, 'n_estimators': 124, 'loss': 'exponential', 'learning_rate': 34.36724922461231}",-0.7735049737376595,-0.7156416821723,-0.40518595928156287,-0.5814913487716568,-0.4406453652832943,-0.5410045175947253,-0.6698913582690108,-0.42299360086394655,-1.218560139697311,-0.837939721238651,-0.6606858666910117,0.23436439624002162,17
37,0.3636178493499756,0.0888791788843143,0.020254683494567872,0.004853110155489754,42,53,exponential,31.265701550775386,"{'random_state': 42, 'n_estimators': 53, 'loss': 'exponential', 'learning_rate': 31.265701550775386}",-0.4797892802431333,-0.7796563520662108,-0.7481274893141765,-0.5555158488362834,-1.1195107519089094,-0.41337460776899937,-1.0177673341700813,-0.4518742429567419,-0.5086128173995461,-0.741733569557487,-0.6815962294221569,0.23101935717057412,18
97,0.41880505084991454,0.20654381417783238,0.019132328033447266,0.00782351361788359,42,185,exponential,34.467299149574785,"{'random_state': 42, 'n_estimators': 185, 'loss': 'exponential', 'learning_rate': 34.467299149574785}",-0.47408997401289477,-0.5248616234847047,-1.0642966503943352,-0.7072213700752963,-1.059145856674249,-0.585759121878935,-0.578655011064775,-0.933717052037885,-0.6462344583975084,-0.4005498856703313,-0.6974531003690915,0.2276739372997902,19
93,2.6875780820846558,0.3753879980635876,0.1283259868621826,0.04404923378773749,42,155,linear,18.60938604302151,"{'random_state': 42, 'n_estimators': 155, 'loss': 'linear', 'learning_rate': 18.60938604302151}",-0.3080997379826925,-0.575887233754473,-0.6451432458926144,-0.8401259131619453,-0.6847836999838979,-0.581273855792322,-0.734960312031985,-1.495470944499839,-0.7053734281631762,-0.4332132270642097,-0.7004331598327155,0.3018543007577946,20
91,1.0847689390182496,0.15157596116776112,0.0500201940536499,0.013958653074709887,42,56,linear,9.80499264632316,"{'random_state': 42, 'n_estimators': 56, 'loss': 'linear', 'learning_rate': 9.80499264632316}",-0.5892517763158736,-0.7127764074859988,-0.7523771639861793,-0.5188047967745638,-0.42435493338061825,-0.6545685942345887,-0.6033791770536117,-0.8550703283868376,-1.536828062719146,-0.7551309590327347,-0.7402542199370152,0.29095475372325774,21
67,0.22043118476867676,0.07021709735371788,0.014190864562988282,0.003025483007767072,42,46,exponential,37.11862216108054,"{'random_state': 42, 'n_estimators': 46, 'loss': 'exponential', 'learning_rate': 37.11862216108054}",-0.7553555746813984,-0.3207199607609423,-0.6033400168402734,-0.991907425480122,-1.5155452544894927,-1.0062381049364828,-0.40540448181918987,-0.9062383095583851,-0.9778783672172887,-0.4867920502618175,-0.7969419546045393,0.34035038931649847,22
34,1.364011788368225,0.1782053577759682,0.06165225505828857,0.0058107094186957186,42,88,linear,14.957563781890943,"{'random_state': 42, 'n_estimators': 88, 'loss': 'linear', 'learning_rate': 14.957563781890943}",-0.8661449554577887,-0.672287855674605,-0.3715383785411262,-0.8231037651617215,-1.2439830502931697,-0.9806104778400452,-0.9073875370989355,-0.5985755817024477,-0.490138896136839,-1.118522331525614,-0.8072292829432293,0.26145581253464517,23
99,0.1413511276245117,0.023484991366298426,0.011027288436889649,0.0052853883650909985,42,132,linear,82.44123816908454,"{'random_state': 42, 'n_estimators': 132, 'loss': 'linear', 'learning_rate': 82.44123816908454}",-0.7680534618193701,-1.1150400949548562,-0.6921105612189803,-0.5474268584417771,-0.8330284388405391,-0.3890887145112344,-0.6242116733212894,-1.5894698253036972,-1.2868976763229498,-0.31287146508985814,-0.8158198769824552,0.3836232709832367,24
86,2.6025276660919188,0.3335623074314578,0.0961524248123169,0.014146167265486965,42,110,linear,23.061607703851923,"{'random_state': 42, 'n_estimators': 110, 'loss': 'linear', 'learning_rate': 23.061607703851923}",-1.054491034563421,-0.6960235261447607,-0.7051993999095952,-1.0031104640571045,-1.2604018063878593,-0.7513913590662774,-0.7730735030103393,-0.6793541225505048,-0.5079172470332789,-0.7333053036475545,-0.8164267766370695,0.2103551812186153,25
54,0.1583914041519165,0.036614582248425905,0.012989020347595215,0.0027262091823011007,42,108,exponential,43.52181735867934,"{'random_state': 42, 'n_estimators': 108, 'loss': 'exponential', 'learning_rate': 43.52181735867934}",-0.7324008816144301,-0.4399955690058728,-0.6033400168402734,-0.8905741380554704,-0.8884910510843229,-1.619708806990318,-0.5081299569612512,-0.5369913737999825,-1.5130286314529156,-0.5596094580428459,-0.8292269883847683,0.3965881720242026,26
36,0.12064340114593505,0.010809734033325823,0.012280535697937012,0.0012322156866528139,42,106,square,57.67888174087043,"{'random_state': 42, 'n_estimators': 106, 'loss': 'square', 'learning_rate': 57.67888174087043}",-1.504260448830232,-1.195559718814895,-0.2578708119622108,-0.24410351511808684,-0.5938487545075217,-0.6540591970734703,-0.24887003063799526,-0.8857193882296835,-1.5130286314529156,-1.2065507348416367,-0.8303871231468648,0.4790327647172894,27
81,1.5865983486175537,0.16310834185020162,0.06409649848937989,0.022631428663208386,42,76,linear,15.207688594297148,"{'random_state': 42, 'n_estimators': 76, 'loss': 'linear', 'learning_rate': 15.207688594297148}",-0.8542893322004075,-0.7079311959704392,-0.8179568830527777,-1.3196472638241243,-0.27288592993596317,-1.6278769402356645,-0.701258194558648,-0.4245055507935432,-1.280319641542475,-0.5665499728638989,-0.8573220904977941,0.40596833298992097,28
73,0.1936791181564331,0.050675037005408555,0.015998148918151857,0.0023385412199124337,42,60,linear,41.32071900950475,"{'random_state': 42, 'n_estimators': 60, 'loss': 'linear', 'learning_rate': 41.32071900950475}",-1.504260448830232,-0.6803713727526959,-1.4924858472261011,-1.0031104640571007,-0.641931416552101,-0.6699318946870363,-0.8509183514616973,-0.8309049001620866,-0.493660500743992,-0.42348996063680966,-0.8591065157109853,0.35737982238437505,29
85,0.5130169153213501,0.571359182631293,0.03212053775787353,0.031742522648764926,42,143,linear,39.869995097548774,"{'random_state': 42, 'n_estimators': 143, 'loss': 'linear', 'learning_rate': 39.869995097548774}",-1.4691779723016567,-1.1914507385330633,-1.1906383827205487,-1.233953083720619,-0.7147577856194921,-0.5033869870408918,-0.6991904516042868,-0.45880275854416774,-0.46523351100900073,-0.7168642886687866,-0.8643455959762514,0.3523275028812689,30
33,0.11638062000274658,0.01661534632440317,0.011599135398864747,0.0014321245319831282,42,111,square,57.728906703351676,"{'random_state': 42, 'n_estimators': 111, 'loss': 'square', 'learning_rate': 57.728906703351676}",-1.504260448830232,-1.195559718814895,-0.7748541806850896,-0.24410351511808684,-0.5938487545075217,-0.6540591970734703,-0.24887003063799526,-0.8857193882296835,-1.5130286314529156,-1.2065507348416367,-0.8820854600191526,0.44082941116709456,31
56,0.14772889614105225,0.02875799200012682,0.01191568374633789,0.000889436689763179,42,191,exponential,46.47329014507253,"{'random_state': 42, 'n_estimators': 191, 'loss': 'exponential', 'learning_rate': 46.47329014507253}",-0.7554669216586329,-0.48336508158399094,-0.7027899734267307,-1.127777150458498,-0.7673490317001715,-0.6678204368250052,-1.2970197122996556,-0.920677762465889,-1.2580679533312902,-0.8641587803021533,-0.8844492804052017,0.25335420758803423,32
65,0.2790375232696533,0.19606386965122788,0.019788241386413573,0.013762306716016826,42,97,linear,39.66989524762381,"{'random_state': 42, 'n_estimators': 97, 'loss': 'linear', 'learning_rate': 39.66989524762381}",-1.4691779723016567,-0.6839850425865796,-1.1906383827206655,-1.233953083720619,-0.7110542390081676,-1.18848594697412,-0.6991904516042868,-0.47415726853381807,-0.419000177432976,-0.8280504313936736,-0.8897692996276563,0.3380389628305599,33
45,0.13103835582733153,0.02074044525275039,0.013724422454833985,0.004327674714218202,42,154,linear,74.78741890945473,"{'random_state': 42, 'n_estimators': 154, 'loss': 'linear', 'learning_rate': 74.78741890945473}",-0.6620244363745983,-0.7222290012422496,-0.5571401619765409,-1.5650198705044278,-1.1389897248975727,-0.5820998315418713,-0.24887003063799526,-1.5781885130771838,-1.2868976763229498,-0.5764480807522575,-0.8917907327327645,0.4408885835744935,34
5,0.14728105068206787,0.011180197234022598,0.014080119132995606,0.001791981124273566,42,142,square,36.46829764882441,"{'random_state': 42, 'n_estimators': 142, 'loss': 'square', 'learning_rate': 36.46829764882441}",-0.9172285068512334,-1.220871389416138,-1.5420193730057135,-1.109581886111343,-1.2439830502931697,-0.21815332505426815,-0.747406396844352,-0.24975845883279937,-1.267202058808338,-0.4035653593486345,-0.8919769804565989,0.4437733458543518,35
87,0.5553661108016967,0.06245065238469799,0.03224000930786133,0.00967494058724117,42,28,linear,19.409785442721358,"{'random_state': 42, 'n_estimators': 28, 'loss': 'linear', 'learning_rate': 19.409785442721358}",-0.7078964241588462,-1.103574850282259,-0.7618519161725426,-1.3137799969508905,-0.4642458360735905,-1.6166250221012284,-0.6641516184608943,-0.7641616978636493,-0.6781637636912267,-0.8509965359561319,-0.892544766171126,0.3312418677728527,36
84,0.22771615982055665,0.0440751332205442,0.016235756874084472,0.005195898454483662,42,5,exponential,20.660409504752373,"{'random_state': 42, 'n_estimators': 5, 'loss': 'exponential', 'learning_rate': 20.660409504752373}",-0.9578056143777357,-1.5026762496993786,-0.8028246566293323,-0.851982634540098,-0.582521042401755,-0.8112765503044057,-0.4802652547146248,-0.7047228035224135,-1.5197175034007324,-1.0638530211260018,-0.9277645330716477,0.33233611724339873,37
20,0.14141218662261962,0.02606764571606011,0.011917614936828613,0.0010096755719401637,42,147,exponential,42.371243221610804,"{'random_state': 42, 'n_estimators': 147, 'loss': 'exponential', 'learning_rate': 42.371243221610804}",-0.43869527763329025,-1.1115211382508687,-0.5305642797251948,-1.4921331634394843,-1.1389897248975727,-1.0842057388916795,-0.7192981313946823,-1.0401751776315038,-0.6065402902825789,-1.137094517173688,-0.9299217439320543,0.3195899037446603,38
66,0.1131789207458496,0.008585024711366499,0.011198329925537109,0.001092251956474555,42,86,square,68.38422371185592,"{'random_state': 42, 'n_estimators': 86, 'loss': 'square', 'learning_rate': 68.38422371185592}",-1.504260448830232,-1.195559718814895,-1.5655975145820726,-0.24410351511808684,-1.5620506175729547,-1.0842057388916795,-0.24887003063799526,-0.24975845883279937,-1.5130286314529156,-0.2391867205615182,-0.9406621395295149,0.5865729075219086,39
44,0.13142457008361816,0.02035096227300824,0.012480854988098145,0.0015042224390337804,42,123,exponential,53.02656023011506,"{'random_state': 42, 'n_estimators': 123, 'loss': 'exponential', 'learning_rate': 53.02656023011506}",-0.6911091559928642,-1.1035748502822222,-0.5625511620573407,-1.127777150458498,-0.8873048542664386,-1.6197088069903132,-0.965610961848378,-0.828380523848127,-0.8503743539765207,-0.8185760097434408,-0.9454967829464144,0.2769117788192943,40
82,0.22750310897827147,0.042685758587372856,0.0210115909576416,0.008995392667099058,42,184,linear,86.94348479239619,"{'random_state': 42, 'n_estimators': 184, 'loss': 'linear', 'learning_rate': 86.94348479239619}",-1.504260448830232,-1.077085975780105,-1.5129226114801562,-0.4447623081963221,-0.7678937512245462,-1.2321534569693335,-0.747406396844352,-0.7085102770119962,-1.2868976763229498,-0.4239690241720154,-0.9705861926832009,0.38647223886508186,41
