,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lambda_2,param_lambda_1,param_alpha_2,param_alpha_1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
40,0.5466762542724609,0.1062043493730874,0.011362814903259277,0.002938765449726177,3.47623811905953e-07,2.903101550775387e-06,9.62856428214107e-06,3.304252126063031e-06,"{'lambda_2': 3.47623811905953e-07, 'lambda_1': 2.903101550775387e-06, 'alpha_2': 9.62856428214107e-06, 'alpha_1': 3.304252126063031e-06}",-0.11746775350442018,-0.1035809340228935,-0.11437869759314562,-0.15412324842304176,-0.1412576070282672,-0.10944261821924628,-0.12473144533310887,-0.10235215155191592,-0.18179757156583712,-0.12828643139430976,-0.1277418458636186,0.02378531783035813,1
28,0.5249617576599122,0.034602207181591425,0.010471725463867187,0.0016247760104116306,2.782891445722861e-07,4.027313656828413e-06,5.622011005502751e-06,8.583591795897948e-06,"{'lambda_2': 2.782891445722861e-07, 'lambda_1': 4.027313656828413e-06, 'alpha_2': 5.622011005502751e-06, 'alpha_1': 8.583591795897948e-06}",-0.11746775371716249,-0.10358093310015669,-0.11437869853666424,-0.15412324774533456,-0.14125760852632413,-0.10944262073109173,-0.12473144651733967,-0.10235215153258836,-0.18179757204690197,-0.12828643322237224,-0.12774184656759363,0.023785317779189144,2
58,0.5001207113265991,0.06727626618384552,0.011898279190063477,0.003823005335900134,3.624812406203101e-07,1.085542771385693e-06,8.435017508754378e-06,1.9918459229614807e-06,"{'lambda_2': 3.624812406203101e-07, 'lambda_1': 1.085542771385693e-06, 'alpha_2': 8.435017508754378e-06, 'alpha_1': 1.9918459229614807e-06}",-0.1174677537879754,-0.1035809324395356,-0.11437869876070704,-0.15412324760699078,-0.141257608451402,-0.10944262087507,-0.12473144676681201,-0.10235215152623689,-0.18179757250843817,-0.1282864331458573,-0.12774184658690252,0.02378531790220615,3
13,0.528961968421936,0.09274545538838214,0.010462450981140136,0.004104167867663152,5.011505752876438e-07,8.534067033516758e-06,3.0021510755377684e-06,9.518259129564782e-07,"{'lambda_2': 5.011505752876438e-07, 'lambda_1': 8.534067033516758e-06, 'alpha_2': 3.0021510755377684e-06, 'alpha_1': 9.518259129564782e-07}",-0.11746775531484988,-0.10358092377629845,-0.11437870499712567,-0.15412324321117846,-0.14125761590251698,-0.10944263484671164,-0.12473145442964396,-0.10235215138826202,-0.18179757777330022,-0.12828644229877545,-0.1277418503938663,0.023785318362034066,4
91,0.5141314029693603,0.08658364098056634,0.011431455612182617,0.0033498223835032575,5.754377188594296e-07,4.027313656828413e-06,1.848224112056028e-06,9.905902951475738e-06,"{'lambda_2': 5.754377188594296e-07, 'lambda_1': 4.027313656828413e-06, 'alpha_2': 1.848224112056028e-06, 'alpha_1': 9.905902951475738e-06}",-0.11746775597833266,-0.1035809199394227,-0.11437870769611577,-0.15412324133770675,-0.1412576190163529,-0.10944264080795188,-0.12473145773007199,-0.10235215132818394,-0.18179758008502048,-0.12828644614182164,-0.12774185200609806,0.023785318580817234,5
37,0.5025099992752076,0.07504690278025376,0.009046316146850586,0.0012513593807288665,8.082041020510255e-07,1.2093546773386692e-06,5.88944472236118e-06,5.95247623811906e-07,"{'lambda_2': 8.082041020510255e-07, 'lambda_1': 1.2093546773386692e-06, 'alpha_2': 5.88944472236118e-06, 'alpha_1': 5.95247623811906e-07}",-0.11746775669875457,-0.10358091529552221,-0.11437871049838083,-0.15412323940485928,-0.14125762162775188,-0.10944264631731282,-0.12473146111784983,-0.10235215126319447,-0.18179758303580876,-0.12828644938339726,-0.12774185346428318,0.02378531901622454,6
90,0.4823502540588379,0.03481528492546146,0.010945558547973633,0.004794833931726364,7.388694347173587e-07,3.7549274637318657e-06,3.388444222111055e-06,9.410655327663831e-06,"{'lambda_2': 7.388694347173587e-07, 'lambda_1': 3.7549274637318657e-06, 'alpha_2': 3.388444222111055e-06, 'alpha_1': 9.410655327663831e-06}",-0.11746775667330092,-0.10358091566151388,-0.11437871045067885,-0.154123239423498,-0.14125762186287494,-0.10944264651825332,-0.12473146108074773,-0.10235215126544138,-0.1817975827591149,-0.1282864496600612,-0.1277418535355485,0.023785318920775816,7
2,0.4860011339187622,0.0284511270706172,0.010104131698608399,0.0017963251677778627,1.085542771385693e-06,9.232366183091545e-06,8.31615807903952e-06,6.398199099549775e-07,"{'lambda_2': 1.085542771385693e-06, 'lambda_1': 9.232366183091545e-06, 'alpha_2': 8.31615807903952e-06, 'alpha_1': 6.398199099549775e-07}",-0.11746775781325741,-0.10358090841215539,-0.11437871490230309,-0.15412323632310843,-0.14125762616076415,-0.10944265539959055,-0.12473146648131551,-0.10235215116272571,-0.18179758737970192,-0.12828645497469052,-0.12774185590096127,0.02378531957975616,8
95,0.5601078033447265,0.09328179255891351,0.010556769371032716,0.0033658152283420817,1.2242121060530265e-06,3.967883941970985e-06,7.305852926463231e-06,3.7351175587793893e-06,"{'lambda_2': 1.2242121060530265e-06, 'lambda_1': 3.967883941970985e-06, 'alpha_2': 7.305852926463231e-06, 'alpha_1': 3.7351175587793893e-06}",-0.11746775881777818,-0.10358090252689221,-0.11437871896623511,-0.15412323349764614,-0.1412576307543431,-0.10944266426240404,-0.12473147144693086,-0.10235215107187176,-0.18179759096046622,-0.1282864606429751,-0.12774185829475426,0.023785319945259068,9
42,0.4931292772293091,0.056627540577314686,0.009220170974731445,0.0008100546343764954,1.263831915957979e-06,1e-05,5.136668334167083e-06,3.977788894447223e-06,"{'lambda_2': 1.263831915957979e-06, 'lambda_1': 1e-05, 'alpha_2': 5.136668334167083e-06, 'alpha_1': 3.977788894447223e-06}",-0.11746775930512204,-0.10358089978800272,-0.11437872096034624,-0.1541232320810263,-0.14125763317728693,-0.10944266876089467,-0.12473147390324768,-0.10235215102790358,-0.18179759263310272,-0.12828646361261362,-0.12774185952495465,0.02378532008539243,10
