,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_l1_ratio,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
34,0.28537945747375487,0.07388673649382181,0.015592217445373535,0.006407486245119829,42,0.9685157578789394,0.0003289394697348675,"{'random_state': 42, 'l1_ratio': 0.9685157578789394, 'alpha': 0.0003289394697348675}",-0.1113475259179421,-0.09187958593469077,-0.10404175314413228,-0.11685758382612493,-0.1398508323338725,-0.09260247990173961,-0.11425358080048359,-0.09140162325280662,-0.09168100719999757,-0.12199327879094797,-0.1075909251102738,0.01546550572240542,1
20,0.2958876132965088,0.06361913034212692,0.016653943061828613,0.0031401466425173903,42,0.9535232616308154,0.0003398349174587294,"{'random_state': 42, 'l1_ratio': 0.9535232616308154, 'alpha': 0.0003398349174587294}",-0.11126405520520372,-0.0918971135018328,-0.10411935744263655,-0.11683362533212058,-0.13981291118485004,-0.09261840159621697,-0.1142407808555825,-0.09144317086151676,-0.09173418151288139,-0.12199914109080787,-0.10759627385836493,0.01543924548610574,2
99,0.24113821983337402,0.046706348615139094,0.011002779006958008,0.005890727406702182,42,0.8845577788894446,0.0003759879939969985,"{'random_state': 42, 'l1_ratio': 0.8845577788894446, 'alpha': 0.0003759879939969985}",-0.11117930088782217,-0.09191292609077792,-0.10425496479136429,-0.11680195985010358,-0.13974404497330295,-0.09266688578383404,-0.11423359875171553,-0.09152405201999159,-0.09182567411789148,-0.12199342001050664,-0.10761368272773102,0.01539297663243143,3
18,0.3814923048019409,0.05579221674215107,0.017464661598205568,0.0040640571586389035,42,0.5617193596798399,0.0005750775387693847,"{'random_state': 42, 'l1_ratio': 0.5617193596798399, 'alpha': 0.0005750775387693847}",-0.11140232495387414,-0.09195858311997876,-0.10420115628571512,-0.11703031154064539,-0.13966742136722338,-0.09285004494727403,-0.1143564702377949,-0.09157637933478617,-0.09191348004861295,-0.12181996118907516,-0.107677613302498,0.015349578085639418,4
38,0.34058184623718263,0.03389289947618688,0.01761775016784668,0.0061103444350408655,42,0.46626713356678334,0.0006082591295647824,"{'random_state': 42, 'l1_ratio': 0.46626713356678334, 'alpha': 0.0006082591295647824}",-0.11200090477602868,-0.09194911526284931,-0.10383361317334239,-0.11721843446132163,-0.13992540453858623,-0.09286572435703137,-0.11448799113165337,-0.09137618020252719,-0.091587983574586,-0.1217263804139194,-0.10769717318918455,0.015490482182276877,5
86,0.34447922706604006,0.0525341124555677,0.012967491149902343,0.003053535642444543,42,0.4682661330665332,0.0006676888444222111,"{'random_state': 42, 'l1_ratio': 0.4682661330665332, 'alpha': 0.0006676888444222111}",-0.11161239123681954,-0.09196932883285003,-0.10410098849401525,-0.11714826909532963,-0.13968030987928884,-0.09291819949642482,-0.11443484075850827,-0.09155412339482792,-0.0919010621819154,-0.12172530248855296,-0.10770448158585326,0.01535769545211994,6
2,0.3966315746307373,0.07165037567928685,0.01620008945465088,0.003915083602820669,42,0.46926563281640815,0.0005830015007503752,"{'random_state': 42, 'l1_ratio': 0.46926563281640815, 'alpha': 0.0005830015007503752}",-0.11215728400214743,-0.09195584430361284,-0.10381491369794048,-0.11724428283756227,-0.1400170643325145,-0.0928820674126031,-0.1145141305147047,-0.09142491017217455,-0.0914689575429632,-0.12174505277207617,-0.10772245075882994,0.015523894333524269,7
7,0.3975440263748169,0.07238535799113682,0.016057419776916503,0.004075507289494328,42,0.45327363681840915,0.0005800300150075037,"{'random_state': 42, 'l1_ratio': 0.45327363681840915, 'alpha': 0.0005800300150075037}",-0.11232138953263841,-0.09197685890878196,-0.10380664811544513,-0.1172937306268605,-0.14011469707189494,-0.0929192311709916,-0.11453400567540047,-0.09151141503887184,-0.09136514327323028,-0.12174987232188506,-0.10775929917360001,0.015549666189035371,8
42,0.339756178855896,0.045250709111408695,0.014345908164978027,0.00280710099793943,42,0.43428314157078535,0.0006023161580790395,"{'random_state': 42, 'l1_ratio': 0.43428314157078535, 'alpha': 0.0006023161580790395}",-0.11234488179195314,-0.09198742928034905,-0.1038102856546183,-0.1173149281906723,-0.14011391655098465,-0.09293970337449277,-0.11455249342856302,-0.09153007517473256,-0.09136667497903646,-0.12173184857272325,-0.10776922369981257,0.015545450673345791,9
78,0.4066340684890747,0.09490833939554352,0.01637239456176758,0.005044521912098312,42,0.47076488244122056,0.0005448674337168584,"{'random_state': 42, 'l1_ratio': 0.47076488244122056, 'alpha': 0.0005448674337168584}",-0.11242238068111576,-0.09198866733224947,-0.10380813766118994,-0.11730267180641489,-0.1401990914272278,-0.09290846834221753,-0.11459492932764845,-0.09156789189561693,-0.0912707807764805,-0.12178176750215258,-0.1077844786752314,0.0155801608473622,10
48,0.3242184162139893,0.03851192542801349,0.014110374450683593,0.003917876885459792,42,0.4682661330665332,0.0007375187593796899,"{'random_state': 42, 'l1_ratio': 0.4682661330665332, 'alpha': 0.0007375187593796899}",-0.11135496836344812,-0.09204018941962328,-0.10457947108559672,-0.11715269098409463,-0.13947295923347777,-0.09303271607401255,-0.11441432382653342,-0.09181793550299584,-0.09224667385670017,-0.12178873135751626,-0.10779006597039989,0.015221262508133273,11
88,0.48655846118927004,0.11667617867772047,0.01830000877380371,0.01741426888003132,42,0.6221890945472736,0.0004047123561780891,"{'random_state': 42, 'l1_ratio': 0.6221890945472736, 'alpha': 0.0004047123561780891}",-0.11252660133891929,-0.09198868326441208,-0.10381136785782853,-0.11725339760546685,-0.14034045499808967,-0.09280816143868256,-0.11463456588805981,-0.09160519961456182,-0.09113006982507738,-0.12191806838829837,-0.10780165702193964,0.015644296387862053,12
31,0.30968823432922366,0.04803144272237093,0.015970253944396974,0.004743654514764041,42,0.3668169084542271,0.0007028514257128565,"{'random_state': 42, 'l1_ratio': 0.3668169084542271, 'alpha': 0.0007028514257128565}",-0.11242395968815845,-0.09203036541706129,-0.10382899048278942,-0.11740328904457176,-0.14009216872210647,-0.09302461845742971,-0.11463122914490113,-0.09159341638262511,-0.09140012481655523,-0.12165508248746622,-0.10780832446436647,0.01552220372118315,13
61,0.421716046333313,0.07093758194189005,0.017292070388793945,0.011575000847158106,42,0.6626688344172086,0.0005775537768884443,"{'random_state': 42, 'l1_ratio': 0.6626688344172086, 'alpha': 0.0005775537768884443}",-0.11097961289620682,-0.0919589642059024,-0.10508598257194533,-0.11698805406453469,-0.13942913121221212,-0.09294536650563381,-0.11427177185293252,-0.09200192098648118,-0.09251688557480132,-0.12195042331346187,-0.10781281131841121,0.015163001732514444,14
27,0.33317930698394777,0.03253702765619403,0.016515183448791503,0.0031171302408549684,42,0.5082461230615307,0.0007112706353176589,"{'random_state': 42, 'l1_ratio': 0.5082461230615307, 'alpha': 0.0007112706353176589}",-0.11124050946970959,-0.09201364369551573,-0.10481120787442744,-0.11714214528478194,-0.13941634158348262,-0.09301810910426868,-0.11437580707632569,-0.09190623161883511,-0.09238784672148648,-0.12183626118378686,-0.10781481036126202,0.015184709666447192,15
72,0.4075347423553467,0.04418799568124055,0.01924631595611572,0.004548619044461208,42,0.4892556278139069,0.0004978189094547274,"{'random_state': 42, 'l1_ratio': 0.4892556278139069, 'alpha': 0.0004978189094547274}",-0.11260094067878008,-0.09204673163014142,-0.10383314539891687,-0.11734830889949681,-0.14034524736551024,-0.0928844060589222,-0.11476670471253932,-0.0917089968910834,-0.09109785741212593,-0.1218347726029547,-0.1078467111650471,0.015630606667731965,16
3,0.43609113693237306,0.0808366342201521,0.018093562126159667,0.007841333868736913,42,0.6006998499249624,0.0006404502251125563,"{'random_state': 42, 'l1_ratio': 0.6006998499249624, 'alpha': 0.0006404502251125563}",-0.11103687355760951,-0.09197746470881832,-0.10512565765531214,-0.11707450025671585,-0.13938964866849662,-0.0930068395628325,-0.11430713649531477,-0.09204153571790989,-0.09259880699479968,-0.1219122327175632,-0.10784706963353725,0.015138108143445298,17
58,0.5066478490829468,0.10716681188142328,0.016684651374816895,0.007266673792212467,42,0.7916043021510755,0.0005270385192596298,"{'random_state': 42, 'l1_ratio': 0.7916043021510755, 'alpha': 0.0005270385192596298}",-0.11100544570830209,-0.0919915842465287,-0.10533225797876539,-0.11694064645647675,-0.13936043699331355,-0.09304098214779202,-0.11423439331298588,-0.09224176683275047,-0.0928947201254172,-0.12206183399719438,-0.10791040677995263,0.015075202378227385,18
10,0.34607088565826416,0.08925868843072278,0.014197516441345214,0.0023134365181110904,42,0.9280360180090044,0.0002506903451725863,"{'random_state': 42, 'l1_ratio': 0.9280360180090044, 'alpha': 0.0002506903451725863}",-0.11287642965273706,-0.09212814017639331,-0.10389830103020269,-0.11735948821118682,-0.14058959884248876,-0.09271866215028104,-0.11492343687776116,-0.09189151933608769,-0.09078792903703449,-0.12216712513519841,-0.10793406304493713,0.015748197248365205,19
85,0.36577696800231935,0.11497347334244308,0.014599919319152832,0.005042451043880379,42,0.8715642821410704,0.0002660430215107554,"{'random_state': 42, 'l1_ratio': 0.8715642821410704, 'alpha': 0.0002660430215107554}",-0.11287354554230894,-0.09213457935130621,-0.10389765374602175,-0.11736374944409192,-0.14058121515751368,-0.09273235472763187,-0.11492518023358952,-0.09189840832727202,-0.0907883009245195,-0.12214740799671635,-0.10793423954509718,0.015742225095692175,20
8,0.36668417453765867,0.08563802950033102,0.017497611045837403,0.007084451668433084,42,0.5177413706853427,0.0007687193596798399,"{'random_state': 42, 'l1_ratio': 0.5177413706853427, 'alpha': 0.0007687193596798399}",-0.11119070485098602,-0.09203414115924448,-0.10529536848219645,-0.11726284455572797,-0.13929147928396218,-0.09318201026549457,-0.11438961616724969,-0.0922070829322751,-0.09287423848885701,-0.1218690955870778,-0.10795965817730713,0.015060882065045076,21
13,0.3555447578430176,0.03771636564209397,0.015276169776916504,0.0038415444445031232,42,0.42428814407203597,0.0005201050525262632,"{'random_state': 42, 'l1_ratio': 0.42428814407203597, 'alpha': 0.0005201050525262632}",-0.11288233211540918,-0.09223579497608933,-0.10390575143461905,-0.11754296896006365,-0.1404606710887832,-0.0930118779364755,-0.11499043850307779,-0.09198056105798169,-0.09082482264676668,-0.12186781505337656,-0.10797030337726428,0.015656628859343276,22
11,0.2996522426605225,0.06375111510908664,0.01331470012664795,0.003352483825563623,42,0.2673666833416708,0.0008147773886943473,"{'random_state': 42, 'l1_ratio': 0.2673666833416708, 'alpha': 0.0008147773886943473}",-0.11293399845223343,-0.09222708812109433,-0.10388329896094604,-0.11776177614645958,-0.14023479290565335,-0.09326298769873971,-0.1149471579592302,-0.0920384442434389,-0.09100123565700703,-0.12157105747963444,-0.10798618376244369,0.015549257034929388,23
22,0.37496974468231203,0.07306906487197665,0.019780826568603516,0.005645550849110101,42,0.37181440720360176,0.0005706203101550776,"{'random_state': 42, 'l1_ratio': 0.37181440720360176, 'alpha': 0.0005706203101550776}",-0.11297621968744787,-0.09231559424702676,-0.1039513349042857,-0.11766103207815143,-0.14040463304694295,-0.09310231100007853,-0.11508801784771439,-0.09205798673084728,-0.09075982400939246,-0.12183694251337972,-0.10801538960652671,0.015638292804870176,24
93,0.4238487482070923,0.05020806809677391,0.016182518005371092,0.0037497442640343514,42,0.59920060030015,0.0003616258129064533,"{'random_state': 42, 'l1_ratio': 0.59920060030015, 'alpha': 0.0003616258129064533}",-0.11300154754810877,-0.09227987520957398,-0.10395613855994482,-0.11752017888531958,-0.14060649934889197,-0.09291607261186671,-0.11510280174944248,-0.09206247582231529,-0.0906801188331669,-0.12206525175172575,-0.10801909603203563,0.01572289255000999,25
92,0.3531606674194336,0.07731993032344135,0.017275309562683104,0.005411487443075721,42,0.5627188594297148,0.0007484142071035518,"{'random_state': 42, 'l1_ratio': 0.5627188594297148, 'alpha': 0.0007484142071035518}",-0.11124968063746125,-0.09206037574898189,-0.10545714472445118,-0.11725548084858921,-0.13923963053035845,-0.09325144765542111,-0.11437946949446505,-0.09238479920261487,-0.09316801925422956,-0.12194615765425727,-0.108039220575083,0.01499732011638374,26
23,0.4295609951019287,0.1085180964575854,0.018362712860107423,0.0065091708399991005,42,0.4497753876938469,0.00046711355677838925,"{'random_state': 42, 'l1_ratio': 0.4497753876938469, 'alpha': 0.00046711355677838925}",-0.11303550293387954,-0.09234236017659787,-0.10398001391597667,-0.11763931065752185,-0.14048912847735975,-0.09303599423621713,-0.11514836359050232,-0.09210121031374892,-0.09067013425201306,-0.12195489542291178,-0.10803969139767289,0.015677939038560504,27
56,0.3309406042098999,0.044084009180097444,0.01774470806121826,0.004317188076300504,42,0.5297353676838419,0.0007974437218609305,"{'random_state': 42, 'l1_ratio': 0.5297353676838419, 'alpha': 0.0007974437218609305}",-0.11131206016005653,-0.09208516130208276,-0.10548798962550239,-0.11732709665270098,-0.13921279790202667,-0.09330087466396735,-0.11441245094150145,-0.09241857759654903,-0.0932309295291161,-0.12192591357981913,-0.10807138519533224,0.01497920426534551,28
