,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
31,59.00010743141174,1.362855541523955,0.04963464736938476,0.006790103290778959,0.37725087543771885,42,1000,3,1,63,0.016606603301650827,"{'subsample': 0.37725087543771885, 'random_state': 42, 'n_estimators': 1000, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 63, 'learning_rate': 0.016606603301650827}",-0.11691459463715989,-0.1103013828047902,-0.11633121273038385,-0.13213682658300682,-0.1563702109134682,-0.10176086685843197,-0.11985107841985641,-0.10794538053337156,-0.09941523840117132,-0.13850131622779394,-0.11995281081094342,0.016826017214724348,1
12,78.70779364109039,2.080185339931105,0.04767162799835205,0.016163636222717322,0.4857942971485743,42,750,7,1,65,0.05762301150575288,"{'subsample': 0.4857942971485743, 'random_state': 42, 'n_estimators': 750, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_depth': 65, 'learning_rate': 0.05762301150575288}",-0.1285053299804697,-0.11340455228228377,-0.12400053931351995,-0.13222878417085854,-0.15951023824282623,-0.10545240826214715,-0.1247496243926322,-0.11513700543792203,-0.11381952024580176,-0.14493639041125916,-0.12617443927397204,0.015424240462283358,2
45,60.89751124382019,2.1458298817544925,0.055542516708374026,0.016406756744813067,0.28471385692846424,42,1000,4,1,60,0.09513801900950476,"{'subsample': 0.28471385692846424, 'random_state': 42, 'n_estimators': 1000, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_depth': 60, 'learning_rate': 0.09513801900950476}",-0.12378962754922364,-0.1208621681002008,-0.12593949898830403,-0.13491447679784285,-0.16047538076367607,-0.11442397164588952,-0.1252601280776377,-0.11410542662878324,-0.12074279807760813,-0.14608614124851294,-0.1286599617877679,0.01391285913296751,3
55,66.51592917442322,2.338941294956181,0.03195617198944092,0.0013964705941990848,0.5628251125562781,42,625,3,2,60,0.07112841420710356,"{'subsample': 0.5628251125562781, 'random_state': 42, 'n_estimators': 625, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 60, 'learning_rate': 0.07112841420710356}",-0.12608608861959444,-0.12436995289397794,-0.13441915323224765,-0.14234626697828423,-0.1586977420579694,-0.10316163221418873,-0.12745640997408714,-0.11630709206140966,-0.11962702443673325,-0.13736208154992882,-0.12898334440184211,0.01451985640320516,4
37,80.32570798397064,3.4358362064344092,0.03167192935943604,0.0031640794226500376,0.7759103551775888,42,625,4,3,53,0.08813521760880441,"{'subsample': 0.7759103551775888, 'random_state': 42, 'n_estimators': 625, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_depth': 53, 'learning_rate': 0.08813521760880441}",-0.1301265222855968,-0.11657411968646757,-0.14103631293312127,-0.14350029762237404,-0.16044876357995716,-0.10859017948738078,-0.13060859758416724,-0.1260453328525818,-0.1189340075703818,-0.13649779087258754,-0.1312361924474616,0.014266189636108746,5
70,68.15232963562012,4.155287456376556,0.03102388381958008,0.0024854780857820613,0.5728291145572787,42,625,5,2,49,0.09863941970985493,"{'subsample': 0.5728291145572787, 'random_state': 42, 'n_estimators': 625, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 49, 'learning_rate': 0.09863941970985493}",-0.13025055634841934,-0.11866939592318458,-0.14012082838304515,-0.13887416404286643,-0.1662081347615043,-0.11115645089374167,-0.12723510623278886,-0.1197775922014626,-0.12574442199907887,-0.145153285164918,-0.13231899359510096,0.015105736092256067,6
56,105.2622642993927,4.724308766873337,0.04321565628051758,0.0019757213414987097,0.5883353176588294,42,875,4,1,57,0.08113241620810406,"{'subsample': 0.5883353176588294, 'random_state': 42, 'n_estimators': 875, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_depth': 57, 'learning_rate': 0.08113241620810406}",-0.12923069830051911,-0.12384885627515745,-0.13682105198947095,-0.14285625350024939,-0.16490375691275333,-0.10980928665228104,-0.13591753433006734,-0.11700118929914467,-0.12234055245368382,-0.1435113506818144,-0.13262405303951413,0.015008427743280319,7
64,107.69646565914154,5.100279535959163,0.042395591735839844,0.010730682583429539,0.779411755877939,42,750,3,3,60,0.1421568284142071,"{'subsample': 0.779411755877939, 'random_state': 42, 'n_estimators': 750, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_depth': 60, 'learning_rate': 0.1421568284142071}",-0.1343477547435259,-0.13132059052884015,-0.14150746494269065,-0.14537458157431382,-0.1606539194562723,-0.11429124350598797,-0.14061366032127598,-0.12806392430900565,-0.11610196992321763,-0.14501376499528443,-0.13572888743004147,0.013351551554975126,8
78,78.58531427383423,2.173010304481806,0.03116419315338135,0.0007610609685024001,0.6143457228614307,42,750,7,3,51,0.23119244622311155,"{'subsample': 0.6143457228614307, 'random_state': 42, 'n_estimators': 750, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_depth': 51, 'learning_rate': 0.23119244622311155}",-0.13290303776131035,-0.13118322222067552,-0.14531228845858826,-0.14707930261782465,-0.1619785576487208,-0.12110762178835974,-0.129173963017574,-0.1339836353582255,-0.12616888059755263,-0.14557077492458517,-0.13744612843934167,0.011648728885198448,9
25,20.645781445503236,0.7003522734128232,0.022119641304016113,0.0011223996696132328,0.2722088544272136,42,625,5,3,55,0.16666663331665832,"{'subsample': 0.2722088544272136, 'random_state': 42, 'n_estimators': 625, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 55, 'learning_rate': 0.16666663331665832}",-0.1467373721585377,-0.12904619709878534,-0.13889699954495133,-0.15265213842858275,-0.16112976517390554,-0.12419305684128787,-0.12925404666472504,-0.12010403889716222,-0.12833201358727808,-0.15738671053797912,-0.1387732338933195,0.01399182785590139,10
