,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,param_leaf_size,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
50,0.10273435115814208,0.03150662928810153,0.2758977174758911,0.09982996288637758,distance,8,30,kd_tree,"{'weights': 'distance', 'n_neighbors': 8, 'leaf_size': 30, 'algorithm': 'kd_tree'}",-0.16608374530799713,-0.1652922412341422,-0.15843752459011073,-0.17149258016135502,-0.178952655846057,-0.157467277618555,-0.1842917956956395,-0.14757448627705574,-0.1556096222407496,-0.17552098775408764,-0.16607229167257492,0.010959435634493942,1
67,0.060167121887207034,0.013068930847121449,0.13754744529724122,0.04516791344469129,distance,11,36,ball_tree,"{'weights': 'distance', 'n_neighbors': 11, 'leaf_size': 36, 'algorithm': 'ball_tree'}",-0.16557123622547745,-0.16160481947831887,-0.1654370829430739,-0.1715512448642093,-0.1816598305246388,-0.16009392390104302,-0.18263600506505015,-0.14778725583846827,-0.15125100451380416,-0.17471367032007315,-0.1662306073674157,0.011100164446675751,2
42,0.0833775281906128,0.03636267147834221,0.14715111255645752,0.04653077758696646,distance,11,33,ball_tree,"{'weights': 'distance', 'n_neighbors': 11, 'leaf_size': 33, 'algorithm': 'ball_tree'}",-0.16557123622547745,-0.16160481947831887,-0.1654370829430739,-0.1715512448642093,-0.1816598305246388,-0.16009392390104302,-0.18263600506505015,-0.14778725583846827,-0.15125100451380416,-0.17471367032007315,-0.1662306073674157,0.011100164446675751,2
11,0.10623397827148437,0.04061496599513889,0.19787414073944093,0.05066151417238422,distance,11,33,kd_tree,"{'weights': 'distance', 'n_neighbors': 11, 'leaf_size': 33, 'algorithm': 'kd_tree'}",-0.16557123622547745,-0.16160481947831887,-0.1654370829430739,-0.1715512448642093,-0.1816598305246388,-0.16009392390104302,-0.18263600506505015,-0.14778725583846827,-0.15125100451380416,-0.17471367032007315,-0.1662306073674157,0.011100164446675751,2
94,0.07205722332000733,0.015083118268889263,0.13207654953002929,0.034366106518033665,distance,12,26,ball_tree,"{'weights': 'distance', 'n_neighbors': 12, 'leaf_size': 26, 'algorithm': 'ball_tree'}",-0.16390439836596715,-0.16381322467475562,-0.16521494958863261,-0.17264825188206243,-0.1816935016728308,-0.15876911173361866,-0.18317391471084563,-0.1463679291945848,-0.15084973309802824,-0.17766996208233857,-0.16641049770036645,0.011819288890757357,5
90,0.09731583595275879,0.02319978895610345,0.15932927131652833,0.04141024760436684,distance,10,35,kd_tree,"{'weights': 'distance', 'n_neighbors': 10, 'leaf_size': 35, 'algorithm': 'kd_tree'}",-0.16763375936402988,-0.16288915707527113,-0.16447337039257326,-0.17108841191366386,-0.1817735954508894,-0.15853655192155117,-0.18342934543865874,-0.147313754426602,-0.1525916582916476,-0.17482995395046824,-0.16645595582253553,0.011196914891411032,6
27,0.08784024715423584,0.023863622544531365,0.18665478229522706,0.0459113269878024,distance,9,33,kd_tree,"{'weights': 'distance', 'n_neighbors': 9, 'leaf_size': 33, 'algorithm': 'kd_tree'}",-0.16779371736123685,-0.16454667941400647,-0.16165898328764808,-0.17117643982912803,-0.18092632085217436,-0.15786828188332583,-0.184982161009822,-0.14814189672327774,-0.15211198783752813,-0.17562445284441563,-0.1664830921042563,0.011411822359389243,7
15,0.09414479732513428,0.03403603759823266,0.16721885204315184,0.043548541741344246,distance,9,27,ball_tree,"{'weights': 'distance', 'n_neighbors': 9, 'leaf_size': 27, 'algorithm': 'ball_tree'}",-0.16779371736123685,-0.16454667941400647,-0.16165898328764808,-0.17117643982912803,-0.18092632085217436,-0.15786828188332583,-0.184982161009822,-0.14814189672327774,-0.15211198783752813,-0.17562445284441563,-0.1664830921042563,0.011411822359389243,7
1,1.0285075426101684,0.3818651181254247,0.9006928443908692,0.5921216229571391,distance,14,38,kd_tree,"{'weights': 'distance', 'n_neighbors': 14, 'leaf_size': 38, 'algorithm': 'kd_tree'}",-0.16421134415285635,-0.1602597380570273,-0.16372372420086856,-0.1744865005972374,-0.18277935591927064,-0.1604166997329997,-0.1860464998630302,-0.14668936931610263,-0.15066015857987367,-0.17749420915070654,-0.1666767599569973,0.012504727907157119,9
77,0.0875657320022583,0.02460181179527165,0.18437180519104004,0.037841102374503346,distance,14,22,kd_tree,"{'weights': 'distance', 'n_neighbors': 14, 'leaf_size': 22, 'algorithm': 'kd_tree'}",-0.16421134415285635,-0.1602597380570273,-0.16372372420086856,-0.1744865005972374,-0.18277935591927064,-0.1604166997329997,-0.1860464998630302,-0.14668936931610263,-0.15066015857987367,-0.17749420915070654,-0.1666767599569973,0.012504727907157119,9
89,0.07389435768127442,0.027884264389249167,0.15832850933074952,0.04101076533859062,distance,13,42,kd_tree,"{'weights': 'distance', 'n_neighbors': 13, 'leaf_size': 42, 'algorithm': 'kd_tree'}",-0.16365802015237582,-0.1610787529313806,-0.16480945162281024,-0.17346919728944388,-0.18270563242150506,-0.15846144266748283,-0.1853989757240839,-0.1490755671625599,-0.15044746569768253,-0.17900713684633285,-0.16681116425156578,0.012206807940279282,11
99,0.06402606964111328,0.017363041744817544,0.0987842321395874,0.030915877696370043,distance,13,31,ball_tree,"{'weights': 'distance', 'n_neighbors': 13, 'leaf_size': 31, 'algorithm': 'ball_tree'}",-0.16365802015237582,-0.1610787529313806,-0.16480945162281024,-0.17346919728944388,-0.18270563242150506,-0.15846144266748283,-0.1853989757240839,-0.1490755671625599,-0.15044746569768253,-0.17900713684633285,-0.16681116425156578,0.012206807940279282,11
44,0.08662195205688476,0.030312753321283133,0.1684246063232422,0.05375864326794828,distance,13,32,kd_tree,"{'weights': 'distance', 'n_neighbors': 13, 'leaf_size': 32, 'algorithm': 'kd_tree'}",-0.16365802015237582,-0.1610787529313806,-0.16480945162281024,-0.17346919728944388,-0.18270563242150506,-0.15846144266748283,-0.1853989757240839,-0.1490755671625599,-0.15044746569768253,-0.17900713684633285,-0.16681116425156578,0.012206807940279282,11
29,0.0696373462677002,0.020961932870291716,0.14826645851135253,0.035551724451464685,distance,15,32,ball_tree,"{'weights': 'distance', 'n_neighbors': 15, 'leaf_size': 32, 'algorithm': 'ball_tree'}",-0.16297334576360345,-0.16078536456328466,-0.16513727881099388,-0.17526155938592455,-0.18383260518273278,-0.15842688554403253,-0.18787528682459315,-0.14609485321719964,-0.15118137830544706,-0.17792740515172417,-0.1669495962749536,0.013137000999880313,14
12,0.1515120267868042,0.06374004039890267,0.1715346097946167,0.04146736112123891,distance,15,43,kd_tree,"{'weights': 'distance', 'n_neighbors': 15, 'leaf_size': 43, 'algorithm': 'kd_tree'}",-0.16297334576360345,-0.16078536456328466,-0.16513727881099388,-0.17526155938592455,-0.18383260518273278,-0.15842688554403253,-0.18787528682459315,-0.14609485321719964,-0.15118137830544706,-0.17792740515172417,-0.1669495962749536,0.013137000999880313,14
81,0.07008213996887207,0.01928719729100228,0.13224997520446777,0.025421054243691194,uniform,6,45,ball_tree,"{'weights': 'uniform', 'n_neighbors': 6, 'leaf_size': 45, 'algorithm': 'ball_tree'}",-0.16484252648525383,-0.16828072300527122,-0.1591091051337824,-0.17050931811805678,-0.1746491941822627,-0.15736638356928065,-0.18510800872305055,-0.15219266691190575,-0.16042332912922366,-0.17875859441522302,-0.16712398496733105,0.009801600526125859,16
30,0.08989946842193604,0.023415131113942493,0.15862417221069336,0.019255676465390465,uniform,6,33,kd_tree,"{'weights': 'uniform', 'n_neighbors': 6, 'leaf_size': 33, 'algorithm': 'kd_tree'}",-0.16484252648525383,-0.16828072300527122,-0.1591091051337824,-0.17050931811805678,-0.1746491941822627,-0.15736638356928065,-0.18510800872305055,-0.15219266691190575,-0.16042332912922366,-0.17875859441522302,-0.16712398496733105,0.009801600526125859,16
72,0.08494870662689209,0.026322130221725887,0.157551908493042,0.04087444692559414,distance,16,41,kd_tree,"{'weights': 'distance', 'n_neighbors': 16, 'leaf_size': 41, 'algorithm': 'kd_tree'}",-0.1634988475460926,-0.16027731691902267,-0.1646991588413403,-0.17519347089154408,-0.1862736777449735,-0.15718689949252873,-0.18746400770709004,-0.1468212075749664,-0.15340637766477247,-0.17651491692607035,-0.16713358813084014,0.013033618057054537,18
55,0.08640165328979492,0.05110406171640033,0.10943288803100586,0.0397503635898333,uniform,7,45,ball_tree,"{'weights': 'uniform', 'n_neighbors': 7, 'leaf_size': 45, 'algorithm': 'ball_tree'}",-0.16464026467068568,-0.1663027669158715,-0.15756744649396465,-0.1728117643822965,-0.1774481571633569,-0.161232230686146,-0.18429673759830512,-0.15004717164514864,-0.16346508948779317,-0.17558995319562087,-0.16734015822391893,0.00971049246680391,19
24,0.07218570709228515,0.019829806344045017,0.12903401851654053,0.05357551978940735,uniform,8,31,ball_tree,"{'weights': 'uniform', 'n_neighbors': 8, 'leaf_size': 31, 'algorithm': 'ball_tree'}",-0.16756897045444344,-0.16761176520559753,-0.159398739034831,-0.17267615167807912,-0.17964001768382398,-0.15904943617582804,-0.1854487674203088,-0.1492718843267574,-0.15688323414387736,-0.17656992298184662,-0.16741188891053932,0.010772911953227578,20
92,0.09124526977539063,0.029569373668483116,0.1792001962661743,0.053121677029965855,uniform,8,31,kd_tree,"{'weights': 'uniform', 'n_neighbors': 8, 'leaf_size': 31, 'algorithm': 'kd_tree'}",-0.16756897045444344,-0.16761176520559753,-0.159398739034831,-0.17267615167807912,-0.17964001768382398,-0.15904943617582804,-0.1854487674203088,-0.1492718843267574,-0.15688323414387736,-0.17656992298184662,-0.16741188891053932,0.010772911953227578,20
5,0.10106916427612304,0.04486201355799229,0.18314168453216553,0.05717533361879282,uniform,8,20,ball_tree,"{'weights': 'uniform', 'n_neighbors': 8, 'leaf_size': 20, 'algorithm': 'ball_tree'}",-0.16756897045444344,-0.16761176520559753,-0.159398739034831,-0.17267615167807912,-0.17964001768382398,-0.15904943617582804,-0.1854487674203088,-0.1492718843267574,-0.15688323414387736,-0.17656992298184662,-0.16741188891053932,0.010772911953227578,20
36,0.10949230194091797,0.024511020307531807,0.17325589656829835,0.05063120942063077,distance,19,34,kd_tree,"{'weights': 'distance', 'n_neighbors': 19, 'leaf_size': 34, 'algorithm': 'kd_tree'}",-0.16090924004102936,-0.15822868775632584,-0.16828234282235074,-0.17924896301930215,-0.18839398920048867,-0.15701632918152775,-0.18905253022237037,-0.1449535388583245,-0.15183196754888625,-0.17828296943039712,-0.16762005580810027,0.014659405458858242,23
19,0.1005824327468872,0.03006541794877941,0.1748567581176758,0.039002307691512715,distance,19,25,kd_tree,"{'weights': 'distance', 'n_neighbors': 19, 'leaf_size': 25, 'algorithm': 'kd_tree'}",-0.16090924004102936,-0.15822868775632584,-0.16828234282235074,-0.17924896301930215,-0.18839398920048867,-0.15701632918152775,-0.18905253022237037,-0.1449535388583245,-0.15183196754888625,-0.17828296943039712,-0.16762005580810027,0.014659405458858242,23
