,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
88,0.23759450912475585,0.05552843005861353,0.014747405052185058,0.003939435078825606,42,0.0003086343171585793,"{'random_state': 42, 'alpha': 0.0003086343171585793}",-0.1115181769219196,-0.09185276699673994,-0.10390052819685641,-0.116887893245422,-0.13992265624544928,-0.09257647395935875,-0.11427237171895872,-0.09132891387477732,-0.09157453862867247,-0.12199397117383703,-0.10758282909619916,0.015514530639482802,1
96,0.23374814987182618,0.05635747328185972,0.014127087593078614,0.003911833595677279,42,0.00030170085042521263,"{'random_state': 42, 'alpha': 0.00030170085042521263}",-0.11164334213633567,-0.09184570029775758,-0.10381038785605799,-0.11691822979764263,-0.1399710675862879,-0.09257088418171411,-0.1142915879433336,-0.09128762488322814,-0.09151080811473554,-0.12199120991774129,-0.10758408427148344,0.015544564635026162,2
14,0.24967648983001708,0.035338383963777226,0.014309024810791016,0.0016977752806847744,42,0.00029575787893946977,"{'random_state': 42, 'alpha': 0.00029575787893946977}",-0.11174329175347075,-0.09184354903754383,-0.10375351849498622,-0.11694828183884301,-0.1400185249631105,-0.09256770322715985,-0.11432533542900283,-0.09125873153502707,-0.0914428148092082,-0.12199156567474403,-0.10758933167630964,0.015572369643858665,3
38,0.31676104068756106,0.0764250646347405,0.015186095237731933,0.005272191501517449,42,0.00029278639319659834,"{'random_state': 42, 'alpha': 0.00029278639319659834}",-0.11179137771738316,-0.09184348920161121,-0.10374993720608663,-0.11696453303671422,-0.14004417047464762,-0.0925669975288375,-0.11434322038831464,-0.0912455042365324,-0.09140917208036492,-0.121996469029249,-0.10759548708997413,0.015586242914059613,4
0,0.24519450664520265,0.0705856624923273,0.012226080894470215,0.002023410084262409,42,0.00033488244122061034,"{'random_state': 42, 'alpha': 0.00033488244122061034}",-0.11115869953533862,-0.09190830435374882,-0.10427247709185204,-0.1167541755769752,-0.13976708866295193,-0.09262662237074447,-0.11421368029081616,-0.09151520589287562,-0.0918087858653611,-0.12203598692190534,-0.10760610265625695,0.015404251954584674,5
60,0.26964221000671384,0.07325465050506848,0.015745663642883302,0.008101127647623196,42,0.00034726363181590797,"{'random_state': 42, 'alpha': 0.00034726363181590797}",-0.11106503196544192,-0.09193255643963703,-0.10446751045329368,-0.11668453272489845,-0.1397022527833327,-0.09265686427609736,-0.11419458953537687,-0.09160215272213383,-0.09192092034996151,-0.1220623216440006,-0.10762887328941739,0.015356015358357225,6
22,0.21202373504638672,0.04174833757707079,0.015225934982299804,0.00335261219295111,42,0.00036954977488744376,"{'random_state': 42, 'alpha': 0.00036954977488744376}",-0.11092467721012042,-0.09192875044005745,-0.10486137012133956,-0.11670665305450899,-0.13959715900273412,-0.09272337373188053,-0.11417088639410151,-0.09178670155322172,-0.09218042642714237,-0.12208489446429878,-0.10769648923994055,0.015273913149563221,7
79,0.2714861869812012,0.07211974326341254,0.014444804191589356,0.0059784708271013055,42,0.0002665382691345673,"{'random_state': 42, 'alpha': 0.0002665382691345673}",-0.1123085995451832,-0.09189909675175077,-0.10377348413281484,-0.11711114610309405,-0.1402961198862849,-0.09265121142103434,-0.11442638612787866,-0.09142056896280211,-0.09116090905232285,-0.1220583546285683,-0.1077105876611734,0.01566472119655717,8
75,0.2563066244125366,0.048843212633081314,0.016083192825317384,0.004809717699839538,42,0.0003759879939969985,"{'random_state': 42, 'alpha': 0.0003759879939969985}",-0.11088479737169767,-0.09192164950190324,-0.1049658002729028,-0.1167170530630883,-0.13957400301858133,-0.09274332715481931,-0.11416372640860475,-0.09184772582336198,-0.09226285234565045,-0.12208300008124663,-0.10771639350418565,0.015250522584758213,9
82,0.239776611328125,0.10759815973262156,0.015360140800476074,0.0077540574758125915,42,0.00037697848924462233,"{'random_state': 42, 'alpha': 0.00037697848924462233}",-0.1108790340759484,-0.09192177979247458,-0.10497459402937344,-0.11671885525838904,-0.13957049763674906,-0.09274673637428717,-0.11416322969703852,-0.09185734971853352,-0.09227522057626054,-0.12208252339792042,-0.10771898205569748,0.01524695016572064,10
