,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
7,2.714727544784546,0.3155871341261044,0.20256690979003905,0.04430471471698732,42,79,6,1,69,"{'random_state': 42, 'n_estimators': 79, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_depth': 69}",-0.14141588196631535,-0.13387146105686026,-0.14227422913982424,-0.17633512285632613,-0.17180630524536558,-0.11422072437371107,-0.14140087169440396,-0.12659551847045114,-0.14720016857994536,-0.14005568069861932,-0.14351759640818224,0.017750893885249454,1
38,3.980578374862671,0.4077750208102061,0.21875665187835694,0.08688163888958285,42,88,2,1,147,"{'random_state': 42, 'n_estimators': 88, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 147}",-0.14445579015838644,-0.13287547764519989,-0.14158737240851982,-0.17433116365544057,-0.1707778617370255,-0.11419329609958276,-0.14384808408523375,-0.1258913529050587,-0.147230372686486,-0.14168789599755582,-0.14368786673784892,0.017314761096897092,2
88,2.8499417066574098,0.2199933053991137,0.2549529790878296,0.07977216023834162,42,74,3,1,98,"{'random_state': 42, 'n_estimators': 74, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 98}",-0.14152995123717704,-0.1337834305323017,-0.14154798891522244,-0.17649198524711315,-0.17093751390548267,-0.11393863850205058,-0.142771462312395,-0.1266795798007652,-0.14895245820600078,-0.14065846348725017,-0.14372914721457586,0.01771440477046412,3
86,2.8756576776504517,0.2229159470310071,0.21705780029296876,0.04664683586748632,42,81,3,1,125,"{'random_state': 42, 'n_estimators': 81, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 125}",-0.14268992575397987,-0.13370990260415627,-0.14140621295188963,-0.17592160573112833,-0.17091180856664692,-0.1142524517170285,-0.1437436856388023,-0.12604091355426866,-0.1480910093504821,-0.14072462092258395,-0.14374921367909665,0.01758383098946913,4
78,3.5022318601608275,0.16249524268899004,0.24798147678375243,0.05215127483255379,42,96,3,1,96,"{'random_state': 42, 'n_estimators': 96, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 96}",-0.14286898653268584,-0.13288305532325603,-0.14082492175596453,-0.17682733825494545,-0.1708493707980139,-0.11347121460735152,-0.14518785296767325,-0.12634998244761006,-0.1476224057018485,-0.141095584972867,-0.1437980713362216,0.017887314418625185,5
67,3.7012450218200685,0.3252747979147906,0.20797357559204102,0.09943655173654088,42,100,3,1,57,"{'random_state': 42, 'n_estimators': 100, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 57}",-0.14281569270721067,-0.13226636757357785,-0.14138183937541848,-0.17631525050101446,-0.17052881202258022,-0.11345873067204382,-0.14505688548679727,-0.12667778183860914,-0.14837932511568905,-0.1411532395932767,-0.14380339248862178,0.01776184148753622,6
31,2.4019520759582518,0.24562021863878916,0.22541897296905516,0.08404525647997488,42,74,8,1,71,"{'random_state': 42, 'n_estimators': 74, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_depth': 71}",-0.1398262681290118,-0.133597326667338,-0.14258036396120155,-0.17593603358103774,-0.17139926182716397,-0.11490673167885453,-0.14264580631141913,-0.1284216036562266,-0.14751704767372176,-0.1417415572310786,-0.14385720007170535,0.017339220313851652,7
34,3.6429035902023315,0.3236858895163331,0.22999732494354247,0.11107061692715291,42,109,8,1,46,"{'random_state': 42, 'n_estimators': 109, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_depth': 46}",-0.14119351669498703,-0.13222530138096963,-0.1427818253368389,-0.17609765433829125,-0.17209837541102893,-0.11354357430019274,-0.14521020012043656,-0.1284039074659704,-0.14757936052723108,-0.14135364288008848,-0.14404873584560351,0.017776022528711983,8
43,2.759318542480469,0.1829830411573263,0.19483664035797119,0.09477893349753737,42,82,3,2,51,"{'random_state': 42, 'n_estimators': 82, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 51}",-0.1428838969732935,-0.13309896047291256,-0.14414595721233492,-0.17428145569586556,-0.17039699491876711,-0.11496113388556037,-0.1427911713956475,-0.12838904221533762,-0.148701638216369,-0.14133967549931473,-0.14409899264854029,0.016886003966986224,9
50,3.567977714538574,0.573164078461967,0.211869215965271,0.09237710664542545,42,91,8,1,40,"{'random_state': 42, 'n_estimators': 91, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_depth': 40}",-0.14226784501792436,-0.13291090351398846,-0.14179172417793595,-0.17609368431231454,-0.1722461123329414,-0.11444759234508363,-0.14419878375087852,-0.1277352579000041,-0.14768219570924304,-0.14162153984128265,-0.14409956389015965,0.0176514446875457,10
