,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
76,0.044871044158935544,0.010211977021251673,0.00794517993927002,0.001445985780716989,42,10.149574787393696,"{'random_state': 42, 'alpha': 10.149574787393696}",-0.11729268340989515,-0.10486107703349734,-0.11335471378443707,-0.15526318535792377,-0.14008553428408813,-0.1072693605330596,-0.12366663123209323,-0.10271570232767493,-0.1815421921767552,-0.12697840732224608,-0.12730294874616704,0.023884443900362054,1
83,0.04204471111297607,0.0036881660406043845,0.0086090087890625,0.0015950167831245404,42,10.140570285142571,"{'random_state': 42, 'alpha': 10.140570285142571}",-0.11729284183749115,-0.10485818334290128,-0.11335615025385672,-0.15526061411705636,-0.14008654343833674,-0.10727186403647208,-0.12366786995501458,-0.10271435306537435,-0.18154188392192794,-0.12697926793861955,-0.12730295719070506,0.023884217209369393,2
79,0.039055681228637694,0.006139287264549021,0.008345746994018554,0.0011394338898775434,42,10.234617308654327,"{'random_state': 42, 'alpha': 10.234617308654327}",-0.11729122495805729,-0.10488832389551338,-0.11334126708310369,-0.15528747417323974,-0.14007613079618403,-0.10724593168780078,-0.12365507917315059,-0.10272852689839704,-0.18154528660667432,-0.12697045089409253,-0.12730296961662133,0.023886609815064186,3
36,0.045725035667419436,0.006755357584862158,0.007523632049560547,0.0006225226911425682,42,10.246623311655828,"{'random_state': 42, 'alpha': 10.246623311655828}",-0.11729102453456415,-0.10489215856881128,-0.11333938610590027,-0.15529090383128702,-0.1400748216642271,-0.10724265521503225,-0.1236534695516121,-0.10273034920059734,-0.18154574985718336,-0.1269693524232086,-0.12730298709524232,0.02388691916995102,4
4,0.042749428749084474,0.0044522376702976,0.009996724128723145,0.004442873440917786,42,10.247623811905953,"{'random_state': 42, 'alpha': 10.247623811905953}",-0.11729100789342738,-0.10489247799223114,-0.11333922955094283,-0.15529118964274546,-0.1400747127741509,-0.10724238252079385,-0.12365333565228995,-0.1027305011895499,-0.18154578875316213,-0.12696926115865878,-0.12730298871279525,0.02388694498892876,5
97,0.04000873565673828,0.002534712322305495,0.007824921607971191,0.0006654040987439742,42,10.105552776388194,"{'random_state': 42, 'alpha': 10.105552776388194}",-0.11729346528501594,-0.10484691410347766,-0.11336175979738573,-0.15525061588635367,-0.14009049271688828,-0.10728164178829536,-0.12367271579662217,-0.1027091218188967,-0.18154072092279233,-0.1269826482018758,-0.1273030096317604,0.02388334053122189,6
17,0.04127955436706543,0.002657024741680566,0.008712315559387207,0.0008294146530579224,42,10.094547273636818,"{'random_state': 42, 'alpha': 10.094547273636818}",-0.11729366364494838,-0.10484336707057597,-0.11336353046547612,-0.1552474739409764,-0.1400917420967992,-0.10728472862122351,-0.1236742482039237,-0.10270748295600061,-0.1815403672286356,-0.12698372160054386,-0.12730303258291034,0.0238830666259307,7
48,0.04166686534881592,0.0034995432317479797,0.008431148529052735,0.0008587428734027715,42,10.091545772886443,"{'random_state': 42, 'alpha': 10.091545772886443}",-0.11729371794447892,-0.10484239925923401,-0.1133640140130952,-0.15524661707736362,-0.14009208351802852,-0.10728557163648367,-0.12367466691846699,-0.10270703643036674,-0.1815402717526665,-0.12698401526480826,-0.12730303938149926,0.02388299206008282,8
75,0.04372224807739258,0.004618475784096841,0.007622575759887696,0.0004232777953780368,42,10.28464232116058,"{'random_state': 42, 'alpha': 10.28464232116058}",-0.11729039873127937,-0.10490428234587325,-0.11333345785352647,-0.1553017653488105,-0.14007070585239592,-0.1072323300277837,-0.12364840679303667,-0.1027361388295405,-0.18154725929895327,-0.12696591396066187,-0.12730306590418614,0.02388790452205055,9
91,0.04306061267852783,0.002662533862541627,0.008308863639831543,0.00069620684725606,42,10.311655827913956,"{'random_state': 42, 'alpha': 10.311655827913956}",-0.11728996224100416,-0.10491287880306986,-0.1133292715975972,-0.155309483540318,-0.1400678088078179,-0.1072250399198989,-0.12364484115489727,-0.10274026995637883,-0.1815483707282015,-0.12696350758962244,-0.1273031434338806,0.02388860987306629,10
56,0.04097318649291992,0.0013095830789340089,0.008147215843200684,0.0005603480347723674,42,10.04352176088044,"{'random_state': 42, 'alpha': 10.04352176088044}",-0.11729459851524131,-0.10482688862135589,-0.11337178808862722,-0.15523290912070195,-0.14009758614642007,-0.10729912732152788,-0.12368141232044054,-0.10269991762109557,-0.18153880198155498,-0.12698876773677917,-0.12730317974737443,0.0238818069806888,11
38,0.04113359451293945,0.002501698543065791,0.009798479080200196,0.003599525479532769,42,10.329664832416208,"{'random_state': 42, 'alpha': 10.329664832416208}",-0.11728967499625817,-0.1049186015925278,-0.11332649267456353,-0.15531462933737591,-0.14006588999159755,-0.10722020104648379,-0.12364247855761129,-0.10274303203632021,-0.18154912949699079,-0.12696192019046781,-0.1273032049920197,0.023889082493097572,12
28,0.04246034622192383,0.005518609020710523,0.008448195457458497,0.0006335141557031924,42,10.034517258629315,"{'random_state': 42, 'alpha': 10.034517258629315}",-0.11729476609895531,-0.10482397498301846,-0.11337325357146252,-0.155230339284923,-0.1400986262852591,-0.10730168320878802,-0.12368268675708557,-0.10269858823604003,-0.18153853859687236,-0.12698967016355953,-0.1273032127185964,0.023881586463841017,13
72,0.047327637672424316,0.012289238112548511,0.009437298774719239,0.0032695582249629303,42,10.02751375687844,"{'random_state': 42, 'alpha': 10.02751375687844}",-0.1172948969845453,-0.104821707638267,-0.11337439510957813,-0.15522834061619098,-0.1400994371238397,-0.10730367423535625,-0.12368368010707922,-0.10269755545328334,-0.1815383364228105,-0.12699037453931006,-0.12730323982302605,0.023881415322124358,14
24,0.04000191688537598,0.00168813166428437,0.007628440856933594,0.000573131545581816,42,10.339669834917459,"{'random_state': 42, 'alpha': 10.339669834917459}",-0.11728951670782317,-0.10492177809983942,-0.11332495293545788,-0.15531748822242114,-0.14006482830262637,-0.10721752008204738,-0.12364117099524631,-0.10274456927642169,-0.18154955715921633,-0.1269610441006421,-0.1273032425881742,0.023889345878008974,15
78,0.04815218448638916,0.008803224031306478,0.007077765464782715,0.0003431130147734344,42,10.356678339169585,"{'random_state': 42, 'alpha': 10.356678339169585}",-0.11728924973021854,-0.10492717355014967,-0.11332234209622334,-0.15532234849584747,-0.1400630304902961,-0.10721297436786506,-0.12363895629684227,-0.10274718707785976,-0.18155029417789895,-0.12695956421950022,-0.12730331205027015,0.023889794964916628,16
87,0.04090359210968018,0.00389792373375988,0.007966256141662598,0.000590077279248248,42,10.380690345172587,"{'random_state': 42, 'alpha': 10.380690345172587}",-0.11728887733738212,-0.1049347807955251,-0.11331867056877838,-0.15532921039697203,-0.1400605074799015,-0.10720658236004997,-0.12363584709114774,-0.10275089238948842,-0.18155135598621003,-0.12695749519841773,-0.1273034219603873,0.023890431805569635,17
88,0.041594719886779784,0.001993388059086244,0.008182191848754882,0.0009045688000824143,42,10.384692346173086,"{'random_state': 42, 'alpha': 10.384692346173086}",-0.11728881578475409,-0.10493604755002213,-0.11331806027866015,-0.1553303540833734,-0.14006008868879294,-0.10720551991511133,-0.12363533086770905,-0.10275151102912267,-0.1815515353688163,-0.12695715265514332,-0.12730344162215054,0.023890538266320833,18
10,0.04330203533172607,0.00639343205123675,0.008470463752746581,0.0012894987510628207,42,10.386693346673336,"{'random_state': 42, 'alpha': 10.386693346673336}",-0.11728878506329865,-0.10493668080748822,-0.11331775530809905,-0.15533092593028838,-0.1400598794761268,-0.1072049890015806,-0.12363507296743216,-0.10275182046518891,-0.18155162531802976,-0.1269569816286614,-0.1273034515966194,0.02389059153090086,19
0,0.038462066650390626,0.004461078955888023,0.008290863037109375,0.0008454276569947836,42,9.971485742871435,"{'random_state': 42, 'alpha': 9.971485742871435}",-0.11729596123526932,-0.1048035315164552,-0.11338358173813823,-0.15521235431309768,-0.14010598215587808,-0.10731970107889445,-0.12369169407287374,-0.10268933069199841,-0.18153680410661402,-0.12699608838444268,-0.12730350292936618,0.023880058008818653,20
73,0.04465603828430176,0.003478610771144789,0.008075451850891114,0.0009155642013407416,42,10.410705352676338,"{'random_state': 42, 'alpha': 10.410705352676338}",-0.11728841925385498,-0.10494427367819494,-0.11331410472154574,-0.15533778827784628,-0.14005737841392887,-0.10719863406920489,-0.12363198913665978,-0.10275553972790451,-0.18155271807898515,-0.1269549420286305,-0.12730357873867554,0.02389123247673707,21
34,0.040503954887390135,0.0026382292335443646,0.008350801467895509,0.0005316339230077754,42,9.95647823911956,"{'random_state': 42, 'alpha': 9.95647823911956}",-0.11729625150770488,-0.10479865158626771,-0.11338605890746883,-0.15520807323197527,-0.1401077529975478,-0.10732402393243662,-0.12369386105777185,-0.10268713902489739,-0.18153641955596198,-0.12699764282903225,-0.12730358746310647,0.023879698051147317,22
95,0.04350779056549072,0.003554864093310337,0.008370184898376464,0.0004134741095008472,42,9.937468734367183,"{'random_state': 42, 'alpha': 9.937468734367183}",-0.11729662235999364,-0.10479246343811993,-0.11338920668948749,-0.15520265114570936,-0.14011000687681094,-0.10732951783679712,-0.12369661835005975,-0.1026843698763087,-0.18153594831102937,-0.126999626426366,-0.12730370313106823,0.023879244321889138,23
47,0.04367532730102539,0.006650122998151603,0.009836673736572266,0.0027429490371603422,42,9.932466233116559,"{'random_state': 42, 'alpha': 9.932466233116559}",-0.1172967205436133,-0.10479083369306555,-0.11339003692090467,-0.15520122439798428,-0.1401106020173985,-0.10733096700863012,-0.12369734627138274,-0.10268364245064143,-0.18153582725594286,-0.1270001511527277,-0.12730373517122912,0.023879125333608198,24
15,0.044213080406188966,0.003995934957126818,0.009995436668395996,0.004441437629759041,42,10.44272136068034,"{'random_state': 42, 'alpha': 10.44272136068034}",-0.11728793966134632,-0.10495437970066887,-0.11330926321579131,-0.15534693855738216,-0.14005407080452506,-0.10719020666861072,-0.12362790874904309,-0.10276051597846046,-0.18155421326439333,-0.1269522589172357,-0.12730376955174566,0.023892092113948056,25
29,0.0455277681350708,0.00862240357272301,0.008487439155578614,0.0007147272577550888,42,10.443721860930465,"{'random_state': 42, 'alpha': 10.443721860930465}",-0.11728792482376749,-0.10495469518696462,-0.11330911239511052,-0.15534722451165758,-0.14005396793949454,-0.10718994415307759,-0.12362778181268501,-0.10276067180215176,-0.18155426068778707,-0.1269521757364763,-0.12730377590491723,0.0238921190697037,26
99,0.0324138879776001,0.007125669693894268,0.005752825736999511,0.0018485458370777086,42,10.447723861930966,"{'random_state': 42, 'alpha': 10.447723861930966}",-0.11728786556399123,-0.10495595693440768,-0.11330850940056111,-0.1553483683333006,-0.14005355678025302,-0.10718889459912556,-0.12362727441531715,-0.10276129528776128,-0.18155445080331098,-0.1269518434161794,-0.1273038015534208,0.02389222694823812,27
80,0.04275279045104981,0.004385390842700988,0.010065054893493653,0.003740859841585845,42,9.913456728364181,"{'random_state': 42, 'alpha': 9.913456728364181}",-0.11729709589246799,-0.10478463576754389,-0.11339319891358787,-0.1551958032123457,-0.1401128712311423,-0.10733648685241959,-0.12370012120795454,-0.10268088318180159,-0.1815353785327173,-0.12700215551209745,-0.12730386303040783,0.023878674761645863,28
6,0.04594063758850098,0.005517831801753684,0.010316896438598632,0.0018897403008295783,42,10.476738369184591,"{'random_state': 42, 'alpha': 10.476738369184591}",-0.11728744025505453,-0.10496509515826402,-0.11330415145565649,-0.15535666124293881,-0.14005059023813432,-0.10718130959008082,-0.1236236124009721,-0.10276582466459794,-0.181555849261548,-0.12694945331343144,-0.12730399875806783,0.023893011710709202,29
81,0.04175572395324707,0.003539186786583153,0.007790088653564453,0.000989408257075433,42,9.89144572286143,"{'random_state': 42, 'alpha': 9.89144572286143}",-0.11729753497176236,-0.10477744951700399,-0.11339687427271444,-0.15518952697448504,-0.1401155139846055,-0.10734290403706884,-0.1237033518267281,-0.10267769806528802,-0.1815348813906595,-0.12700449699690533,-0.12730402320372208,0.023878156199717775,30
51,0.04651033878326416,0.009060665503621662,0.00850682258605957,0.0010499225072723535,42,10.493746873436718,"{'random_state': 42, 'alpha': 10.493746873436718}",-0.1172871944602619,-0.10497044435032368,-0.11330160801844284,-0.155361522752052,-0.1400488629251182,-0.10717688295584023,-0.12362147923497664,-0.10276848722671894,-0.1815566854054103,-0.12694806786168175,-0.12730412351908266,0.023893473887905404,31
45,0.038277721405029295,0.005919813708380991,0.007666325569152832,0.0023840377080944636,42,10.498749374687343,"{'random_state': 42, 'alpha': 10.498749374687343}",-0.11728712266206688,-0.10497201656218029,-0.11330086152291857,-0.15536295262605518,-0.14004835653093087,-0.10717558377263424,-0.12362085373013451,-0.1027692713711733,-0.1815569336191699,-0.12694766256744133,-0.1273041614964705,0.02389361012171627,32
3,0.04106194972991943,0.0036165541937750274,0.008645319938659668,0.0014493820495840085,42,10.499749874937468,"{'random_state': 42, 'alpha': 10.499749874937468}",-0.1172871083293618,-0.10497233094571737,-0.11330071230958262,-0.15536323860179782,-0.14004825534135065,-0.10717532408672875,-0.12362072873247373,-0.10276942825657168,-0.18155698338649023,-0.12694758162791622,-0.1273041691617991,0.023893637384751143,33
23,0.04144797325134277,0.003045233728848797,0.00865316390991211,0.0009884820258153147,42,10.504752376188094,"{'random_state': 42, 'alpha': 10.504752376188094}",-0.1172870368004265,-0.10497390256940087,-0.11329996667151064,-0.15536466848507663,-0.14004774983938792,-0.10717402641028477,-0.12362010426032238,-0.10277021296584173,-0.18155723284523725,-0.1269471775263911,-0.127304207837388,0.023893773781157913,34
11,0.04016897678375244,0.006901787109019873,0.008273839950561523,0.0005729116998030696,42,9.823411705852926,"{'random_state': 42, 'alpha': 9.823411705852926}",-0.11729892261428554,-0.10475517123441529,-0.11340833071881491,-0.15517013434064186,-0.14012378676342752,-0.10736291538913828,-0.1237134572687075,-0.10266792043780475,-0.18153349871693603,-0.12701187565993877,-0.12730460131441107,0.023876575101086726,35
41,0.03907887935638428,0.00604581951544997,0.008453845977783203,0.003025059439567368,42,9.82041020510255,"{'random_state': 42, 'alpha': 9.82041020510255}",-0.11729898490076489,-0.10475418605221243,-0.11340883951633726,-0.15516927902584957,-0.14012415539327303,-0.10736380442662809,-0.12371390729744411,-0.10266749143158313,-0.18153344312698547,-0.12701220614614495,-0.1273046297317223,0.023876506113097957,36
