,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
35,0.038075375556945804,0.004841146891538901,0.0074561119079589845,0.0015290652132483448,cholesky,42,6.307653826913457,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 6.307653826913457}",-0.11880374079092927,-0.10050899720498276,-0.11202250462717872,-0.12408873380526432,-0.14202866413969337,-0.10304660722374089,-0.1193286297023778,-0.09397303860132813,-0.09952962575603283,-0.12317111997474288,-0.1136501661826271,0.013921601054599027,1
89,0.040790343284606935,0.0076426360849224054,0.00760035514831543,0.0014547623145271607,cholesky,42,6.532766383191595,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 6.532766383191595}",-0.11882962594180436,-0.10054349042687905,-0.11198900917545249,-0.12412836934190608,-0.14191518323718638,-0.10300328056593311,-0.11929035276917069,-0.09399695337252212,-0.09966976806614122,-0.12315519502356807,-0.11365212279205636,0.01388268289709165,2
44,0.04531042575836182,0.006158902145214716,0.007403922080993652,0.0010695321031283672,cholesky,42,5.937468734367183,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 5.937468734367183}",-0.11876403486667772,-0.10045543732626695,-0.1120873682198928,-0.12402458711910236,-0.1422287975940032,-0.10312662286937155,-0.11940100453720326,-0.09394153456868967,-0.0992943296102959,-0.12320405041319182,-0.11365277671246954,0.013988122062205314,3
54,0.03627514839172363,0.0016798865378589757,0.006141161918640137,0.0004800413177837952,cholesky,42,6.582791395697849,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 6.582791395697849}",-0.11883552820651483,-0.10055133063951642,-0.11198212937855812,-0.12413723083534861,-0.14189074688831746,-0.10299415903639081,-0.11928238953849521,-0.09400271752664113,-0.09970061755136665,-0.12315204352254025,-0.11365288931236894,0.013874180750854684,4
29,0.2182171106338501,0.05047722310417309,0.006884384155273438,0.0009445816305867025,svd,42,5.902451225612806,"{'solver': 'svd', 'random_state': 42, 'alpha': 5.902451225612806}",-0.11876049570234488,-0.10045059953525269,-0.1120941857907274,-0.12401859778216638,-0.1422486688261627,-0.1031348012422455,-0.11940850889794075,-0.09393910058418686,-0.09927175116522872,-0.12320763660599758,-0.11365343461322534,0.013994589311256621,5
79,0.04191854000091553,0.0055020659800433525,0.007514786720275879,0.0014284044923723556,cholesky,42,5.722361180590295,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 5.722361180590295}",-0.11874298177020602,-0.10042641578773315,-0.11213125541925463,-0.1239880451203924,-0.14235362448537614,-0.10317865057770931,-0.11944904304420999,-0.09392819298657647,-0.09915473524940185,-0.1232274701454381,-0.11365804145862982,0.01402836120897239,6
64,0.03922069072723389,0.005124439501432161,0.006421303749084473,0.0007138553695359778,cholesky,42,7.038019009504752,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 7.038019009504752}",-0.11889129887688885,-0.10062524067234266,-0.11192816026386787,-0.12421859318688233,-0.14168040377972937,-0.10291893858624726,-0.11921823222956013,-0.09406204215928621,-0.09997661658504403,-0.12312927937956152,-0.11366488057194102,0.013799072136898427,7
27,0.22731921672821045,0.021058718973813142,0.009361791610717773,0.0052507781564029715,svd,42,4.951975987993997,"{'solver': 'svd', 'random_state': 42, 'alpha': 4.951975987993997}",-0.1186849942896605,-0.10033899008451766,-0.11233341176091731,-0.12386347003592578,-0.14286233762684616,-0.1034048290117798,-0.1196646611926278,-0.0939165109064648,-0.09863652883974565,-0.12334256963514209,-0.11370483033836276,0.014183841599701902,8
51,0.03871297836303711,0.007180625839998745,0.006894612312316894,0.0009374114057063656,cholesky,42,7.88344172086043,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 7.88344172086043}",-0.11900168137987881,-0.10077218670952216,-0.11186344726232109,-0.12437193670159984,-0.14133965918921393,-0.10281140306580884,-0.11913319380045963,-0.09420025784210015,-0.10046800577451669,-0.12311114085946068,-0.11370729125848818,0.01366903762184037,9
47,0.03658006191253662,0.003141879638186835,0.006609869003295898,0.0015567902006828082,cholesky,42,4.776888444222111,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 4.776888444222111}",-0.11867691757872738,-0.1003236462740648,-0.11239093113738471,-0.12383698485046744,-0.14299378216154116,-0.10346640928325289,-0.11972491455460504,-0.09392314678463991,-0.09851462274482538,-0.12337677926812779,-0.11372281346376364,0.014222077120994405,10
1,0.03410520553588867,0.002641790728877515,0.006185388565063477,0.0008518229003871327,cholesky,42,8.20360180090045,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 8.20360180090045}",-0.11904485539443116,-0.10083028286476013,-0.11184903584777628,-0.12443038110198483,-0.1412249828002766,-0.10277986799874879,-0.11911067245555554,-0.09426047263536781,-0.10064745921974375,-0.12311105912770397,-0.11372890694463489,0.013622544936567076,11
97,0.7161375761032105,0.11654124571307502,0.006547307968139649,0.0008833541894847995,sag,42,7.203101550775387,"{'solver': 'sag', 'random_state': 42, 'alpha': 7.203101550775387}",-0.11921437439016558,-0.1007277047608223,-0.11178208638839064,-0.12445376401620063,-0.14147038012685811,-0.10285656963545382,-0.11920697911885592,-0.09408352660609229,-0.10045785160109325,-0.12305601212580403,-0.11373092487697364,0.013728792144074799,12
69,0.7004647970199585,0.11042298794589438,0.006763195991516114,0.0008331238421573304,sag,42,7.393196598299149,"{'solver': 'sag', 'random_state': 42, 'alpha': 7.393196598299149}",-0.11922964266893053,-0.1007618765870577,-0.11177027262181906,-0.12448274005002107,-0.14140114711116625,-0.10283409273054575,-0.11918701181568993,-0.09411645669632222,-0.1005563531525804,-0.12305590595680371,-0.11373954993909366,0.013701387017509664,13
94,1.2817677974700927,0.1680058542545183,0.006900167465209961,0.001884212670055,saga,42,5.947473736868434,"{'solver': 'saga', 'random_state': 42, 'alpha': 5.947473736868434}",-0.11939028374222911,-0.10060526601958207,-0.11180001503234432,-0.12443264761293467,-0.1418821355635103,-0.10299082618224215,-0.11940734938210497,-0.0939230373045723,-0.10011290394793722,-0.12303630864845892,-0.1137580773435916,0.013881694502038992,14
70,0.18861021995544433,0.012360488280632766,0.006922769546508789,0.0008363905271824456,svd,42,8.643821910955477,"{'solver': 'svd', 'random_state': 42, 'alpha': 8.643821910955477}",-0.11910486202518882,-0.10091179207905329,-0.11183687890649055,-0.12451082284205757,-0.14107836021982362,-0.10274351004056746,-0.11908704566053634,-0.09434914413303784,-0.10088870792764328,-0.12311603250575223,-0.11376271563401512,0.013560761816975672,15
4,0.63662748336792,0.09496588508177826,0.005901527404785156,0.0008342156977783596,sag,42,7.88344172086043,"{'solver': 'sag', 'random_state': 42, 'alpha': 7.88344172086043}",-0.1192841091392646,-0.10084498020298101,-0.11175419053749995,-0.12456207266819654,-0.1412291165997794,-0.10278498610816797,-0.11914533448475256,-0.09420898581345165,-0.1008114313864927,-0.12305820776502142,-0.11376834147056078,0.013632278769820969,16
91,0.2663618326187134,0.03633450533734593,0.011245131492614746,0.004667294908694723,svd,42,8.718859429714858,"{'solver': 'svd', 'random_state': 42, 'alpha': 8.718859429714858}",-0.11911513813604806,-0.10092584607849311,-0.11183562072606808,-0.12452453191131406,-0.14105455283581494,-0.10273805858802652,-0.11908379841761187,-0.09436487686849221,-0.10092921972353805,-0.1231174170356718,-0.11376890603210787,0.013550462040014562,17
25,0.05826814174652099,0.015102394848107385,0.007444190979003906,0.0030793035383296172,lsqr,42,7.033016508254127,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 7.033016508254127}",-0.11911406717693908,-0.1006687877136146,-0.11161630272912423,-0.1246996603783165,-0.1416270488875133,-0.10313401388713093,-0.1193557625013928,-0.09392491456223982,-0.10053517514762818,-0.12303172052194075,-0.113770745350584,0.013781887707048449,18
19,0.044199132919311525,0.009807438990941851,0.006776571273803711,0.0011783839080088871,cholesky,42,8.793896948474238,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 8.793896948474238}",-0.11912542346593634,-0.100939941721432,-0.11183458634576404,-0.12453823807732887,-0.141031073300104,-0.10273281252134343,-0.11908076563580762,-0.09438077825323123,-0.10096955875388273,-0.12311894838589889,-0.11377521264607293,0.013540226623034066,19
62,0.05706920623779297,0.013448800840201227,0.006832003593444824,0.0011922809941189128,lsqr,42,6.242621310655328,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 6.242621310655328}",-0.1190982949618227,-0.10049550270991085,-0.11186789532308954,-0.1246635228475586,-0.14197733605127646,-0.10314470464042538,-0.11946143009228717,-0.09407917239956412,-0.09993052336054656,-0.12304998968449919,-0.11377683720709805,0.013903993955459968,20
