,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_epsilon,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
29,1.1058608770370484,0.07605515723781832,0.10743076801300049,0.016572350655362306,rbf,0.0008428714357178591,0.03553226613306653,10,"{'kernel': 'rbf', 'gamma': 0.0008428714357178591, 'epsilon': 0.03553226613306653, 'C': 10}",-0.1139632626210143,-0.08842159423980873,-0.09919129949015637,-0.1252055457206396,-0.13523057216095422,-0.09295138072379595,-0.1193782610996787,-0.09099105814862316,-0.09002575580060831,-0.12309418940780333,-0.10784529194130828,0.016522412278138558,1
28,1.148102593421936,0.07407291170559685,0.1097245454788208,0.010603445341591248,rbf,0.001169734867433717,0.033191095547773886,7,"{'kernel': 'rbf', 'gamma': 0.001169734867433717, 'epsilon': 0.033191095547773886, 'C': 7}",-0.11347922534705349,-0.08806017485482014,-0.09923028538896432,-0.1257839943623153,-0.13473242241772285,-0.0927218717364537,-0.12044370355820491,-0.09165851579708985,-0.09045842334993283,-0.12398026307359514,-0.10805488798861525,0.016594504979588726,2
77,1.5251720428466797,0.06300183581973975,0.158705997467041,0.020472005888839774,rbf,0.001496598299149575,0.008647823911955978,6,"{'kernel': 'rbf', 'gamma': 0.001496598299149575, 'epsilon': 0.008647823911955978, 'C': 6}",-0.11205647286507611,-0.08753747805127611,-0.10049476687713071,-0.12666134551152153,-0.13402526116811125,-0.09375110437641852,-0.11870062210579312,-0.09505185000896353,-0.09062925219650882,-0.12419500451025513,-0.10831031576710548,0.01601657065580558,3
22,1.7405741214752197,0.1318361765284218,0.15672705173492432,0.016134114391898758,rbf,0.0010855427713856928,0.0030875437718859426,8,"{'kernel': 'rbf', 'gamma': 0.0010855427713856928, 'epsilon': 0.0030875437718859426, 'C': 8}",-0.112458825835424,-0.08825574402078859,-0.10086763301584009,-0.12582285510728686,-0.1348234870854307,-0.09551919855723634,-0.1170105783204134,-0.09510947720274371,-0.09046415927086156,-0.12323998091919654,-0.1083571939335222,0.015618432738722307,4
74,1.0390942811965942,0.07171719703257563,0.11503379344940186,0.011655616400752323,rbf,0.001343071535767884,0.037093046523261626,5,"{'kernel': 'rbf', 'gamma': 0.001343071535767884, 'epsilon': 0.037093046523261626, 'C': 5}",-0.113716733279662,-0.08889413219645052,-0.09980322625861275,-0.12675692969583816,-0.13490548419736875,-0.09282517775521752,-0.12004092856630309,-0.09160209980534668,-0.09176446297322924,-0.12417179233745032,-0.10844809670654791,0.016455673065107104,5
84,1.4082315921783448,0.08201133510569274,0.13141341209411622,0.02059544202518219,rbf,0.00125887943971986,0.013739869934967484,6,"{'kernel': 'rbf', 'gamma': 0.00125887943971986, 'epsilon': 0.013739869934967484, 'C': 6}",-0.11339450151434087,-0.08789243628282159,-0.10049525156345525,-0.1265980339063203,-0.1351063965778002,-0.09484032977348761,-0.11876250986482342,-0.09407994788677038,-0.0907520097012544,-0.12318385029709293,-0.10851052673681669,0.01605799523145453,6
69,1.650425672531128,0.1251858455590579,0.16869511604309081,0.031414558365050395,rbf,0.0009270635317658831,0.0017218609304652326,8,"{'kernel': 'rbf', 'gamma': 0.0009270635317658831, 'epsilon': 0.0017218609304652326, 'C': 8}",-0.11268655239029224,-0.08902178214427968,-0.10087376192379736,-0.12516972370645812,-0.13575105731813236,-0.09686635804547272,-0.11608105220435114,-0.09535346628315287,-0.09034491860276427,-0.12298048226500749,-0.10851291548837083,0.015428942017652278,7
91,1.2682409048080445,0.06723663099417704,0.13206169605255128,0.012170667805571102,rbf,0.0014173586793396699,0.021524262131065532,5,"{'kernel': 'rbf', 'gamma': 0.0014173586793396699, 'epsilon': 0.021524262131065532, 'C': 5}",-0.11351224676965803,-0.08817725612066797,-0.10014229993102546,-0.12752960673010494,-0.13527698764325657,-0.09349339256383864,-0.11987573127147111,-0.09273966234531417,-0.09087144044144697,-0.12456306916092681,-0.10861816929777106,0.016609524741243147,8
65,1.125902533531189,0.05839409265899592,0.1032369613647461,0.008747907411526382,rbf,0.0019076538269134568,0.030732866433216606,5,"{'kernel': 'rbf', 'gamma': 0.0019076538269134568, 'epsilon': 0.030732866433216606, 'C': 5}",-0.11282511000469496,-0.08776779631588195,-0.09980866676177677,-0.12689832195525352,-0.13439609542405645,-0.09252249377962077,-0.1219531710070992,-0.09347252935650018,-0.0918329651717755,-0.1255016735871519,-0.10869788233638111,0.016618438248643782,9
23,1.2547007560729981,0.1268877369266807,0.11042089462280273,0.0266187873386294,rbf,0.0019027013506753379,0.028489244622311154,6,"{'kernel': 'rbf', 'gamma': 0.0019027013506753379, 'epsilon': 0.028489244622311154, 'C': 6}",-0.11267089747328791,-0.08761205328064786,-0.0995533365580221,-0.12688402397380488,-0.13453772554075932,-0.09290468786535076,-0.12214518081185985,-0.09416453881305331,-0.09192844258180215,-0.12613655743758842,-0.10885374443361764,0.01664032592562811,10
13,1.5330037832260133,0.10719275351289742,0.16059484481811523,0.01836559568652595,rbf,0.0009419209604802402,0.008959979989994996,6,"{'kernel': 'rbf', 'gamma': 0.0009419209604802402, 'epsilon': 0.008959979989994996, 'C': 6}",-0.1131450051212298,-0.08923632292801482,-0.10089108183246444,-0.1257782627621059,-0.13648843810427713,-0.09759534018560012,-0.1177711817565592,-0.09453756494732976,-0.09070805627128216,-0.12243350349154447,-0.10885847574004077,0.0156258719316629,11
52,1.368535852432251,0.050465099039525264,0.1361466884613037,0.010747471589970515,rbf,0.002090895447723862,0.015398199099549773,5,"{'kernel': 'rbf', 'gamma': 0.002090895447723862, 'epsilon': 0.015398199099549773, 'C': 5}",-0.11224522178540246,-0.08708233389473276,-0.09998273261056687,-0.1277006714828429,-0.13401674334620403,-0.09287493420575808,-0.12136419546501749,-0.09537555597915742,-0.09214785420829237,-0.12612990263360435,-0.10889201456115787,0.016503355868987983,12
75,1.403003978729248,0.0647892538444175,0.15328581333160402,0.018219915605021515,rbf,0.0005407703851925963,0.015027513756878438,8,"{'kernel': 'rbf', 'gamma': 0.0005407703851925963, 'epsilon': 0.015027513756878438, 'C': 8}",-0.11477454818842768,-0.0901735632478212,-0.10121372163519181,-0.1259429716305936,-0.13789766001547984,-0.09867573868246886,-0.11727056171724576,-0.09442497382088355,-0.09164420741919434,-0.12211281267344794,-0.10941307590307545,0.015586636348735233,13
54,1.0834683418273925,0.02524796968204945,0.1145108699798584,0.02555464049308831,rbf,0.0020562281140570284,0.037151575787893944,6,"{'kernel': 'rbf', 'gamma': 0.0020562281140570284, 'epsilon': 0.037151575787893944, 'C': 6}",-0.11353378013626735,-0.0892275196917128,-0.10002008163492052,-0.12610221462873855,-0.13557111696049334,-0.09405270227353846,-0.12246328669527544,-0.09323480204941889,-0.09359031302123091,-0.1280386608758987,-0.10958344779674949,0.0165541634860969,14
10,1.7327590703964233,0.15106800541842763,0.14010972976684571,0.015005287712933931,rbf,0.0026307153576788393,0.005857928964482241,5,"{'kernel': 'rbf', 'gamma': 0.0026307153576788393, 'epsilon': 0.005857928964482241, 'C': 5}",-0.11254686442305813,-0.08750688708197356,-0.10171207377985032,-0.12926959820925826,-0.13461240955714177,-0.09486733373640006,-0.12196997280733089,-0.09733531838618548,-0.0930065013333213,-0.12857185292903453,-0.11013988122435543,0.016505676404600208,15
68,1.141039252281189,0.05619827985354967,0.099639630317688,0.010786794185103983,rbf,0.002036418209104552,0.03789294647323661,8,"{'kernel': 'rbf', 'gamma': 0.002036418209104552, 'epsilon': 0.03789294647323661, 'C': 8}",-0.11344953492030385,-0.08976999964727037,-0.09994835026043623,-0.1259433441039698,-0.1370522931178036,-0.0956650514938609,-0.12335862893782334,-0.09441123204317925,-0.09401485626715589,-0.12942406533617792,-0.11030373561279812,0.016634466133232377,16
47,1.2814603805541993,0.0913564495181608,0.132141375541687,0.008586301448798031,rbf,0.0006893446723361681,0.019592796398199098,5,"{'kernel': 'rbf', 'gamma': 0.0006893446723361681, 'epsilon': 0.019592796398199098, 'C': 5}",-0.11608246757489396,-0.09064522425446817,-0.10295226434887285,-0.1276641462407145,-0.13870548935740273,-0.09856036168399002,-0.11861624828156067,-0.09481226210700719,-0.09285165419451614,-0.12251237890271766,-0.11034024969461438,0.01575608342231213,17
18,1.5813395738601685,0.14638811295448187,0.1340416669845581,0.02197287102985101,rbf,0.0020611805902951475,0.013096048024012007,10,"{'kernel': 'rbf', 'gamma': 0.0020611805902951475, 'epsilon': 0.013096048024012007, 'C': 10}",-0.1115539470645448,-0.08763291758863563,-0.10122686597827277,-0.1282846840443506,-0.1371937419044619,-0.09553477621870964,-0.12283893402931588,-0.09768578036333278,-0.09296908162709458,-0.1292919879709024,-0.1104212716789621,0.016851342648402372,18
50,1.3099133253097535,0.0788588910244817,0.12186651229858399,0.012340421432248713,rbf,0.002917958979489745,0.022870435217608804,5,"{'kernel': 'rbf', 'gamma': 0.002917958979489745, 'epsilon': 0.022870435217608804, 'C': 5}",-0.11219180535516234,-0.08882358243694369,-0.10039975044258283,-0.12865589865186924,-0.1361575466175465,-0.0949539119968363,-0.12315081713258988,-0.09628959849549165,-0.09407645250077709,-0.13006495435238083,-0.11047643179821805,0.01678947590918387,19
3,1.4185153722763062,0.12497559222257407,0.11027610301971436,0.02007718062093571,rbf,0.002115657828914457,0.026011505752876436,10,"{'kernel': 'rbf', 'gamma': 0.002115657828914457, 'epsilon': 0.026011505752876436, 'C': 10}",-0.11165919177030924,-0.08878760941538293,-0.10064061580162342,-0.12688124766021708,-0.1382458206502547,-0.09626529186136602,-0.12346770935148005,-0.09680121468017391,-0.09347260703011871,-0.12942319174236414,-0.11056444999632901,0.01677670350693484,20
87,1.585709547996521,0.07592386524280272,0.13848392963409423,0.016097071313276583,rbf,0.0030467233616808405,0.00769184592296148,5,"{'kernel': 'rbf', 'gamma': 0.0030467233616808405, 'epsilon': 0.00769184592296148, 'C': 5}",-0.11242882444280436,-0.08821569478782458,-0.10227081445899121,-0.1302995486536432,-0.13623666072399865,-0.09580780738669187,-0.12294998691153923,-0.09790924111205984,-0.09401059660113739,-0.13057912921540968,-0.11107083042940999,0.016803663997073733,21
30,1.3818847417831421,0.06273844462136355,0.11840603351593018,0.018326538447962955,rbf,0.002749574787393697,0.024333666833416707,7,"{'kernel': 'rbf', 'gamma': 0.002749574787393697, 'epsilon': 0.024333666833416707, 'C': 7}",-0.11189067432820458,-0.08940279695879853,-0.10116998681039607,-0.12872408005306843,-0.1382938790365864,-0.09677755207188947,-0.12350725227574226,-0.09757470496572784,-0.0943836863664848,-0.13074049108384841,-0.11124651039507467,0.016813951380996534,22
14,1.7853182315826417,0.17034282081438193,0.14431803226470946,0.02584970440389564,rbf,0.00262576288144072,0.006423711855927963,8,"{'kernel': 'rbf', 'gamma': 0.00262576288144072, 'epsilon': 0.006423711855927963, 'C': 8}",-0.11188704635790266,-0.08885405276289035,-0.1028791297871475,-0.13023179792818002,-0.13872736855519424,-0.09694143031843454,-0.1233199741017667,-0.09895851084584383,-0.09406668339223385,-0.1316998050209168,-0.11175657990705105,0.017028696350350526,23
86,1.5610941886901855,0.06527013564977663,0.13960330486297606,0.008863777697940632,rbf,0.0034181590795397698,0.00829664832416208,5,"{'kernel': 'rbf', 'gamma': 0.0034181590795397698, 'epsilon': 0.00829664832416208, 'C': 5}",-0.11218673775261682,-0.0893178450407647,-0.1027078267399535,-0.13134101627615358,-0.13791865937551842,-0.09664438205605361,-0.12363865044826777,-0.09855802384049797,-0.09484370567085205,-0.13247196613278306,-0.11196288133334616,0.01706480965953733,24
45,1.7689875841140748,0.09621622950774934,0.13217756748199463,0.020093639443944832,rbf,0.0029674837418709353,0.003614307153576788,7,"{'kernel': 'rbf', 'gamma': 0.0029674837418709353, 'epsilon': 0.003614307153576788, 'C': 7}",-0.11245002478057758,-0.08943611749569637,-0.10366855414683633,-0.13123686790294586,-0.13946253917299886,-0.09759729743129694,-0.12357569736037768,-0.09958949555477661,-0.09470720754256812,-0.13294216016341057,-0.1124665961551485,0.017128588106821552,25
5,1.2723880052566527,0.13140510549152737,0.1281447172164917,0.023585880607384188,rbf,0.0034033016508254127,0.033542271135567785,6,"{'kernel': 'rbf', 'gamma': 0.0034033016508254127, 'epsilon': 0.033542271135567785, 'C': 6}",-0.11317445705234137,-0.09236002453125497,-0.10202565972007774,-0.13059979474376432,-0.1402965661716634,-0.09817594855452678,-0.12462535663792006,-0.09899444709460507,-0.09654781941020679,-0.1320558545262833,-0.11288559284426439,0.016691483892379233,26
