,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_random_state,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
52,10.432316613197326,0.6530746567995326,0.12439942359924316,0.043645061575654794,0.8428714357178589,0.8571,0.464,42,6,54,0.09224062031015508,0.009403551775887944,0.7262631315657829,"{'subsample': 0.8428714357178589, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 6, 'max_depth': 54, 'learning_rate': 0.09224062031015508, 'gamma': 0.009403551775887944, 'colsample_bytree': 0.7262631315657829}",-0.12633246515955288,-0.1144836320472608,-0.12332345513891149,-0.13607828009263623,-0.14925955041153585,-0.1025151029332564,-0.12237993784282782,-0.10770694895866544,-0.10889772110558624,-0.1296075907317519,-0.12205846844219852,0.013534793947407937,1
81,8.75653018951416,0.5755809832271964,0.11971750259399414,0.030505116616155445,0.7564282141070535,0.8571,0.464,42,6,42,0.08745422711355678,0.019021210605302652,0.6096548274137068,"{'subsample': 0.7564282141070535, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 6, 'max_depth': 42, 'learning_rate': 0.08745422711355678, 'gamma': 0.019021210605302652, 'colsample_bytree': 0.6096548274137068}",-0.12497722596520314,-0.10950660061081473,-0.12403242090655389,-0.13230455518603543,-0.14947722580723632,-0.10837295058836462,-0.12449166626887535,-0.10604768898025752,-0.11274598774788655,-0.13091587163175886,-0.12228721936929862,0.01280994573181066,2
25,13.905408120155334,0.5488113300322917,0.13806498050689697,0.026086736376885078,0.9140070035017509,0.8571,0.464,42,8,60,0.1435447723861931,0.020666533266633317,0.6839419709854927,"{'subsample': 0.9140070035017509, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 8, 'max_depth': 60, 'learning_rate': 0.1435447723861931, 'gamma': 0.020666533266633317, 'colsample_bytree': 0.6839419709854927}",-0.1252908903708318,-0.10439299373342233,-0.12242807242118846,-0.13630238237185516,-0.1490697657635428,-0.10169703447412796,-0.12759879979416583,-0.11197450532209083,-0.10692294510384685,-0.1378340336701302,-0.12235114230252024,0.01509708231535045,3
62,11.289543437957764,0.7337685558133294,0.1250819444656372,0.025846692899302658,0.8860930465232616,0.8571,0.464,42,8,48,0.07907803901950976,0.0262008004002001,0.8865432716358179,"{'subsample': 0.8860930465232616, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 8, 'max_depth': 48, 'learning_rate': 0.07907803901950976, 'gamma': 0.0262008004002001, 'colsample_bytree': 0.8865432716358179}",-0.12858265325150728,-0.10853292309251376,-0.1189659448394822,-0.1356102492950388,-0.14845482548255062,-0.10815848015823595,-0.12841389129684733,-0.10647275974685347,-0.1120845852181019,-0.1293378336096522,-0.12246141459907833,0.01320169206275605,4
98,13.016235756874085,1.1848432826343163,0.12573652267456054,0.044049158054532696,0.9752376188094047,0.8571,0.464,42,6,45,0.13262581290645323,0.02367298649324662,0.6087543771885943,"{'subsample': 0.9752376188094047, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 6, 'max_depth': 45, 'learning_rate': 0.13262581290645323, 'gamma': 0.02367298649324662, 'colsample_bytree': 0.6087543771885943}",-0.12456428150540083,-0.10613700152209865,-0.12680281903765164,-0.1367722839771907,-0.15124267243351666,-0.10029058482170172,-0.12690673272961303,-0.10846149412248672,-0.10901803054623672,-0.13488175109301476,-0.12250776517889113,0.015379175069635308,5
91,18.308670735359193,1.373162797632369,0.12442669868469239,0.042443448551766995,0.6506253126563282,0.8571,0.464,42,2,60,0.13576688344172086,0.008087293646823411,0.8838419209604803,"{'subsample': 0.6506253126563282, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 2, 'max_depth': 60, 'learning_rate': 0.13576688344172086, 'gamma': 0.008087293646823411, 'colsample_bytree': 0.8838419209604803}",-0.11024495834854663,-0.12038690616698074,-0.12718804245621376,-0.12815245184018428,-0.15419153580726994,-0.1074654035255391,-0.1292492945679687,-0.09867250628896809,-0.11703434848011307,-0.13616637925981032,-0.12287518267415945,0.015058252820996895,6
57,10.31093943119049,0.6858759368127156,0.12915329933166503,0.026033764266258516,0.8244122061030515,0.8571,0.464,42,4,51,0.15580990495247624,0.02195287643821911,0.4844922461230615,"{'subsample': 0.8244122061030515, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 51, 'learning_rate': 0.15580990495247624, 'gamma': 0.02195287643821911, 'colsample_bytree': 0.4844922461230615}",-0.1300252169190528,-0.11167161460180293,-0.1226254220403802,-0.13502910709908722,-0.15105400520132375,-0.09896920687047829,-0.1255812053907069,-0.1131834706781883,-0.10433247763044796,-0.13749493766740611,-0.12299666640988746,0.015325267725149957,7
71,10.818412351608277,0.7152841589026776,0.10935006141662598,0.033947596717657104,0.7339169584792397,0.8571,0.464,42,2,52,0.07234717358679339,0.015850225112556276,0.6740370185092547,"{'subsample': 0.7339169584792397, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 2, 'max_depth': 52, 'learning_rate': 0.07234717358679339, 'gamma': 0.015850225112556276, 'colsample_bytree': 0.6740370185092547}",-0.11366935183063784,-0.11437744450352252,-0.12280151844265484,-0.14304882652619194,-0.1464286443858776,-0.11000212212360073,-0.12252769799391165,-0.10702230282704851,-0.11417178408985774,-0.1371703185194868,-0.12312200112427903,0.013473480849795072,8
26,8.034506797790527,0.8380869821984269,0.13456146717071532,0.03565286437482601,0.8131565782891446,0.8571,0.464,42,8,50,0.13262581290645323,0.011602301150575287,0.3611305652826413,"{'subsample': 0.8131565782891446, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 8, 'max_depth': 50, 'learning_rate': 0.13262581290645323, 'gamma': 0.011602301150575287, 'colsample_bytree': 0.3611305652826413}",-0.12343556190856776,-0.11015677529482897,-0.12374717532752784,-0.14254712744379056,-0.14596465297952915,-0.10670076837035578,-0.12709742035938,-0.11015300263600177,-0.11093610628399808,-0.13228011348909685,-0.12330187040930767,0.013241630605246283,9
16,8.053083920478821,0.41882432423743277,0.12870965003967286,0.04147160130365758,0.9234617308654327,0.8571,0.464,42,4,50,0.1908104052026013,0.0013265132566283142,0.28999499749874935,"{'subsample': 0.9234617308654327, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 50, 'learning_rate': 0.1908104052026013, 'gamma': 0.0013265132566283142, 'colsample_bytree': 0.28999499749874935}",-0.11922533316875931,-0.1118513067962639,-0.1273528083692019,-0.14259551338322782,-0.14335893688713508,-0.10321604385145332,-0.1268226195447743,-0.10875375317544357,-0.11505573764883514,-0.14166399782456693,-0.12398960506496612,0.014023532698200211,10
